company,job,summary
Xinergía,"Analistas de Datos Bussines Intelligence (PowerBI O Tableau) Lenguaje Bash, Python, Ruby, R, SQL, Inglés Intermedio", Conocimiento y experiencia en Big data. Importante empresa de Telecomunicaciones requiere:....
Entel PCS,Entel Busca Ejecutivo Senior Captura TELCO/TI," Experiencia comprobada en cierre de negocios &gt;200 UF con importante componente TI (cloud, big data, datacenter, cloud) en segmento de clientes de similar..."
Beat,Head of Marketing, Develop marketing partnerships with big national brands. Take decisions after looking into data and trends and recommend changes to strategies based on analysis...
Bechtel,Buyer," Accumulates and maintains data for reporting of group metrics. We stand apart for our ability to get the job done right—no matter how big, how complex, or how..."
Entel,Entel busca un CONSULTOR BI Y BIG DATA en Santiago, Investigar sobre nuevas tecnologías asociadas a BI y Big Data. Capacitar en temas clave en Big Data a los equipos....
Ansuz,Test Automation Engineer," Además ANSUZ también tiene un equipo I+D, el cual realiza investigaciones sobre las últimas tendencias y buzzoword en tecnologías como Cloud Computing, Big Data..."
ANALISTA DESARROLLADOR BI,ANALISTA DESARROLLADOR BI," Conocimientos de las principales tecnologías en Big Data Cloudera, Kafka, Hive, Spark,etc. Importante Institución Financiera requiere ANALISTA DESARROLLADOR BI..."
SAS Institute,Pre Sales Academy - Chile," Provide consultative services, including architecture recommendations to support proposed solution and possess technical aptitude to solve complex big data..."
Entel,Entel está en búsqueda de un Consultor Analitycs," Ingeniería Matemática, Ingeniería Eléctrica, Ingeniería en Computación, Ingeniería Informática, Estadístico (curso o Magister de Big Data, Analytics, Data..."
Entel,Entel está en búsqueda de un Analista Analytics, Deseable experiencia laboral en área específica de big data. Desarrollar e implementar análisis que agreguen valor y sean sustentables con Big Data y geo...
Sodimac,Consultor Senior TI," Conocimientos y experiencia de al menos 3 años en Big Data. Sodimac es una empresa que opera en el retail, industria donde ha alcanzado una posición de..."
Bechtel,Senior Contract Formation Specialist," Provide Site Manager with reviews and analysis of the (sub)contract financial data. We stand apart for our ability to get the job done right—no matter how big,..."
Bechtel,Senior Purchasing Specialist," We stand apart for our ability to get the job done right—no matter how big, how complex, or how remote. Reviews and develops other commercial and technical data..."
Equifax,Software Engineer - Career - Team Lead, Experience with the following big data tools:. Equifax's Data &amp; Analytics IT group delivers market-leading software solutions in the areas of Data Science and...
Bechtel,Senior GIS Analyst/Mapping Engineer," Ability to work with various GIS and CAD data formats and perform data conversions, data editing, and topology clean-up...."
KALE Recruitment,Senior Document Controller," Monitor and enforce compliance with the company’s data and document filing system. Manage the company´s onshore data, document and work breakdown structure..."
Bechtel,Pipeline Construction Manager/Specialist, Experience in gathering relevant detailed data for environmental studies in support of Resource Reports for FERC filing....
Conecta Media,Desarrollador Backend," Nos orientamos intensamente a integrar innovaciones en tecnologías asociadas a analítica de Big data, text mining y machine learning, buscando acelerar una..."
