company,job,summary
FARO Technologies,Sales Engineer Dental/Medical Latin America," Act with integrity, demonstrate adaptability, and develop self through learning and feedback. 3D Machine Vision - 3D vision for both control and measurement to..."
REACHR,GERENTE COMERCIAL - HUNTER," Uptodate em relação à novas tecnologias (BIG DATA, Arquitetura, IA, Machine Learning, DevOps, etc ) e principalmente agile ( Lean, Srum, Modelos de trabalho..."
GI Group,ANALISTA ESTATÍSTICO (RV 84436), Desejável pós-graduação em Big Data ou Machine Learning; Criar uma estrutura de recomendação de ofertas de planos e aparelhos baseada em técnicas de machine...
99 TAXIS,Senior Data Scientist SÃO PAULOOPERAÇÕESFULL-TIME L4, Know a lot about Machine Learning Models. Create machine learning models for regression and classification. You will be responsible for create models to help...
Professional,COORDENADOR DE PROJETOS JR.," Conceitos básicos de machine learning, modelos estatísticos e Big data; Proposta de R$ 5.000 + VR + AM + AO + VT...."
-,Programador," É imprescindível conhecimentos em tecnologias de Inteligência Artificial (machine learning, deep learning). Dar apoio na sustentação, baseada em C#, Angular Js..."
JP Morgan Chase,CIB - Brazil Software Engineering Head - VP," In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and..."
Accenture,Programa de Férias ou Estágio - Analytics," Statistical, econometric or machine learning methods. Internship or Vacation Program - Analytics...."
EY,Gerente de Advanced Analytics," Domínio de técnicas de análises preditivas, inteligência artificial, machine learning, implementação de big data (Hadoop);..."
Professional RH,COORDENADOR DE PROJETOS JR.," Conceitos básicos de machine learning, modelos estatísticos e Big data; Proposta de R$ 5.000 + VR + AM + AO + VT...."
CAPCO,Sr Analytics Developer, Ongoing learning opportunities to help you acquire new skills or deepen. This person will be the analytics developer responsible for maintaining the already...
GeekHunter,Software Engineer-52," Experience with applied machine learning. You’re humble and a solid team contributor, knowing not to put your personal interests above the team’s and that every..."
TTEC,Analista Financeiro, Candidates for this position should be ambitious and outgoing and interested in learning about TeleTech as a company....
BAIN & COMPANY,Senior Advanced Analytics Specialist," Proficiency in machine learning techniques and data science tools (SQL, Python) is a plus. The Advanced Analytics Group is a team of experts in primary market..."
Connekt,Consultor de Inteligência de Pricing," Conhecimento de técnicas de Machine Learning, softwares de estatística e/ou linguagens de programação...."
RealNetworks,Sales & Business Development Manager, The candidate will help drive the strategy and execution of sales contracts with telecom carriers and other verticals where our products (Mobile focused or...
REACHR,ENGENHEIRO DE ANALYTICS," Capaz de aplicar conhecimento de Data Science/ Machine Learning nas soluções atuais; Experiência com indicadores, aplicações de algoritmos e analytics...."
Accenture,Consultor de Data Science, Sólidos conhecimentos de estatística e modelagem em machine learning. Redes neurais e deep learning. É apaxionado pelos desafios do uso de estatística e machine...
EY,Gerente - Soluções de Tecnologia em RPA," • Conhecimentos em Machine Learning, RPA, Inteligência Artifical.Desejável conhecimento em Robotics, Blue Prism, Automation Anywhere e UI Path...."
Rapp Brasil,Analista de Database Marketing Pleno / Sênior, Conhecimento em data mining e machine learning. Realizar o desenvolvimento e a implantação de campanhas de CRM;...
Mazzatech,Pesquisador (Inteligência Artificial) - Pleno, Conhecimentos teóricos e práticos em técnicas de Machine Learning; Experiência e Conhecimentos requeridos - Conhecimentos teóricos e práticos em técnicas de...
CA Technologies,Services Architect," Experience with Big Data, Machine Learning. Help build the knowledge base in the communities in which you choose to participate in û including lessons learned,..."
ClickBus Brasil,Analista de Marketing Digital," Implementar Machine Learning no algoritmo proprietário de otimização de investimentos. Não vamos inventar a roda, mas queremos mostrar para os brasileiros que..."
Sossego,Analista Programador Backend (Pleno/Senior)," A Sossego é uma insurtech voltada para melhorar o dia-a-dia do corretor de seguros, não apenas simplificando seus processos operacionais, mas também..."
SONDA IT,Executivo de Pré-venda (projetos de Analytics/BI/SAS)," Desejável conhecimento em SAP, estatística, machine learning, modelos preditivos, Habilidade no Mapeamento de processos de negócio. Descrição das atividades:...."
Microsoft,Cloud Solution Architect," Database architecture, Big Data, Machine Learning, Business Intelligence, Advanced Analytics, Data Mining, ETL. We are always learning...."
Connekt,Desenvolvedor Salesforce II," Conhecimento de tecnologias de ponta (Salesforce, Machine Learning e outras). Você sonha em trabalhar em uma startup movida pela vontade de revolucionar todos..."
Sossego,Engenheiro Senior de Software," Developer senior, arquiteto, fullstack sênior, bot developer, machine learning. Sua responsabilidade no dia-a-dia será participar do processo de evolução dos..."
Micro Focus,"Manager, SW Support Sales"," DevOps | IT Operations| Cloud | Security | Info Governance | Big Data, Machine Learning, &amp; Analytics. At Micro Focus, everything we do is based on a simple idea..."
Ci&T,BI Consultant ETL," Conhecer dados não estruturados, Machine Learning e desenvolvimento ágil; Id...."
Talent Brand,Redator Sênior (Marketing de Conteúdo)," Experiência em redação para o mercado de Tecnologia (Big data, Machine Learning, AI); Motivos para entrar na Talent...."
Accenture,Consultor - Risk Analytics, Desejável especialização em Big Data e Machine learning; Junte-se a Accenture e ajude a transformar as organizações e comunidades em todo o mundo....
Trimble Inc.,Field Applications Engineer," Experienced with Microsoft Office applications, you should be comfortable with learning new computer applications...."
GeekHunter,Senior Software Engineer," Esta é uma vaga de um cliente da GeekHunter, candidate-se para ter acesso as informações completas sobre a empresa. Somos uma insurtech voltada para melhorar..."
Promon Logicalis,Analista de Software (Big Data & Analytics Development)," Sólido conhecimento em algorítimos para implementações de funcionalidades de machine learning, tendência e predição. Descrição do cargo...."
Cognizant,Analista Desenvolvedor .Net, Intermediary level proficiency in core machine learning concepts:. Lead Statistical Modeler or Statistical Modeler SME....
Improving,Desenvolvedor Backend Java (Big Data)," Atuar numa empresa que é pioneira em uso de Data Science no Brasil, junto a profissionais de alto calibre técnico, com desenvolvimento backend em Java, podendo..."
Accenture,Manager - Risk Analytics, Desejável especialização em Big Data e Machine learning; Junte-se a Accenture e ajude a transformar as organizações e comunidades em todo o mundo....
REACHR,ENGENHEIRO DE DADOS, Requisitos obrigatórios Conhecimento: Experiência de +2 anos na área; Capacidade de realizar preparação de dados estruturados e não estruturados; Conhecimento...
Quero Educação,Desenvolvedor(a) Web | Back End," Desenvolver modelos preditivos e adaptativos de lead qualification com machine learning; A Quero Educação, startup brasileira de alto crescimento, é um market..."
EY,Consultor - RPA," Conhecimentos em Machine Learning, RPA, Inteligência Artifical. A EY é líder global em serviços de Auditoria, Impostos, Transações Corporativas e Consultoria...."
Randstad,pesquisador de segurança da informação sênior," Multinacional líder em tecnologia e equipamentos eletrônicos, com unidade em Campinas/SP. Vaga efetiva, contratação CLT Full e direta pelo cliente...."
Nubank,Data Scientist - Machine Learning Engineer, Industry experience building and productionizing innovative end-to-end Machine Learning systems. What are some examples of problems a Machine Learning Engineer...
Nubank,Data Scientist, Multiple notable finishes in machine learning competitions. Automate the creation of hundreds of different machine learning models....
Stone Pagamentos,DEV - People Analytics, Ter noções de machine learning. Acreditamos que com base em técnicas de machine learning e um conhecimento profundo em psicometria é possível trazer mais...
Triad Systems,Analista Big Data," Conhecimentos em Scala e Machine Learning. Experiência com ecossistema Hadoop (Hive, Hbase, HDFS, Sqoop, Kafka, Impala, Flume, Pig), MapReduce...."
QuintoAndar,Data Scientist," Familiarity with machine learning concepts:. Architect, develop and deploy machine learning systems to production...."
tarks consultoria,Engenheiro(a) Trainee em Qualidade e Governança de Dados," Que deseja ampliar seus conhecimentos em tecnologias, programação, Big Data e Machine Learning; Engenheiro(a) recém formado que já pensou no problema de falta..."
tarks consultoria,Analista de Qualidade de Dados Pleno," Desejável conhecimentos em Big Data, Machine Learning e programação. Experiência em projetos de Integração e Qualificação de dados com conhecimentos das..."
C6 Bank,Data Scientist," Conhecimento teórico e prático de técnicas diversas de machine learning (clustering, decision tree learning, artificial neural networks, etc) e suas reais..."
THE HUBI,Programador Python," Atuar com desenvolvimento Python, apoiar a área de inteligência de negócios, servindo como braço de TI em iniciativas voltadas para higienização e análises de..."
Udacity,Localization Intern - Content Quality," We're an online learning platform offering groundbreaking education in fields such as artificial intelligence, machine learning, robotics, virtual reality, and..."
DataRobot,Customer Facing Data Scientist, Experience with machine learning techniques. Customer Facing Data Scientists work with the sales team to develop client relationships and deliver data science...
Joinus,Gerente RPA," Conhecimentos em Machine Learning, RPA, Inteligência Artificial. Gerenciar projetos de implementação de melhorias e soluções de TI para clientes de diversos..."
SALESmanago,Business Development Manager," Is a cloud AI &amp; Machine Learning powered marketing automation platform used by over 10 000 companies in 40 countries including Lacoste, Yves Rocher, Starbucks..."
Udacity,"Enterprise Sales Director, LatAm"," We're an online learning platform offering groundbreaking education in fields such as artificial intelligence, machine learning, robotics, virtual reality, and..."
B2W Digital,Data Scientist, Experiência na resolução de problemas do mundo real utilizando técnicas de machine learning; O Profissional trabalhará em um ambiente diversificado e dinâmico...
Udacity,Director of Brand Experience," We're an online learning platform offering groundbreaking education in fields such as artificial intelligence, machine learning, robotics, virtual reality, and..."
HrSoul,Cientista de Dados," Experiência utilizando técnicas de machine learning e algoritmos avançados, Redes Neurais, K-NN, Naïve Bayes, Decision Trees, Random Forests etc;..."
Mercado Bitcoin,DBA / DRE - Data Reliability Engineer," Experiência em InfluxDB, NOSQL Databases, DynamoDB, RDS, Machine learning, BI, High-Performance Databases, Database Sharding, In-Memory Databases;..."
Nubank,Mobile Software Engineer," Our software team creates new features for our cardholder customers, as well as advanced analytics and machine learning models to continuously improve decision..."
Nape Empregos Estágio,ESTAGIO EM CIÊNCIAS DA C./ENGENHARIA .C/ TI," Suporte na Criação de laboratórios e casos de uso de Machine Learning e IoT. R$ 1.500,00 + Auxílio Transporte + VR R$ 35,00 POR DIA + CONVÊNIO MÉDICO + Seguro..."
Udacity,Business Development Analyst," We're an online learning platform offering groundbreaking education in fields such as artificial intelligence, machine learning, robotics, virtual reality, and..."
MediaMonks,Full-stack Experiential Developer at MediaMonks SP," Python, Node.js, WebGL, ARKit, ARCore, Virtual Reality, TensorFlow, Machine Learning, Neural Networks. MediaMonks São Paulo is looking for a hybrid development..."
RecargaPay,Software Architect," Web application development, Unix/Linux environments, mobile application development, distributed and parallel systems, machine learning, information retrieval,..."
Udacity,"Marketing Analyst, Events"," We're an online learning platform offering groundbreaking education in fields such as artificial intelligence, machine learning, robotics, virtual reality, and..."
CCEE,Arquiteto de Soluções Sr," Desejado - Conhecimento de frameworks de arquitetura empresarial, preferencialmente TOGAF - Certificação TOGAF Foundation - Conhecimento de técnicas e métodos..."
Udacity,Product Marketing Intern," We're an online learning platform offering groundbreaking education in fields such as artificial intelligence, machine learning, robotics, virtual reality, and..."
Udacity,Product Marketing Manager," We're an online learning platform offering groundbreaking education in fields such as artificial intelligence, machine learning, robotics, virtual reality, and..."
Udacity,"Student Services Coordinator, Business School"," We're an online learning platform offering groundbreaking education in fields such as artificial intelligence, machine learning, robotics, virtual reality, and..."
KUNUMI,Back-end Developer," Fundamentos, técnicas e ferramentas de machine learning. Estamos em busca de um Desenvolvedor(a) Back-End com espírito de equipe, proatividade, mão na massa e..."
Udacity,"Student Services Coordinator, Developer School"," We're an online learning platform offering groundbreaking education in fields such as artificial intelligence, machine learning, robotics, virtual reality, and..."
Fantozzi & Associates,Regional Technology Manager / VP," 5+ years as a manager of an engineering and technology team developing, and maintaining software, BI, Big Data, or SaaS projects in a fast-pace technology, data..."
Monitora Soluções Tecnológicas,AI/Data Science Developer," Contribuir com o time de Data Science, em projetos que envolvem I.A., Machine Learning, Classification, Sistemas de Recomendação, Análise Preditiva, dentre..."
HrSoul Hunting Relationship,Cientista de Dados," Experiência utilizando técnicas de machine learning e algoritmos avançados, Redes Neurais, K-NN, Naïve Bayes, Decision Trees, Random Forests etc;..."
DXC,Consultor de Negócios Senior, Desenvolver e automatizar processos baseados em métodos de inteligência artificial / Machine Learning. A DXC Technology (NYSE:....
Verizon,Product Manager - Managed Security Services, The Verizon Enterprise Managed Security Service uses best -in-class commercially available technology and proprietary analytics tools that employ machine...
Voxy,Software Engineer," Scale the Voxy application and make it ready for feeding our upcoming projects in NLP and machine learning. We believe that learning a language should be fun,..."
Udacity,Student Services Representative," We're an online learning platform offering groundbreaking education in fields such as artificial intelligence, machine learning, robotics, virtual reality, and..."
Voxy,Engenheiro de Software," Escalar a aplicação da Voxy e projetar para nossos novos projetos de NLP e machine learning. Nós acreditamos que aprender uma língua deveria ser divertido,..."
Intent Media,"Director, Business Development (LATAM)", $2K learning budget; Sophisticated machine learning capabilities — trained and fine-tuned for years — enable us to serve ads and conversion-boosting user...
Udacity,Product Designer," We're an online learning platform offering groundbreaking education in fields such as artificial intelligence, machine learning, robotics, virtual reality, and..."
