company,job,summary
Kueski,Software Engineering Manager," BS/MS in Computer Science, or equivalent. Kueski is disrupting the consumer lending industry globally and changing the way credit risk is assessed with machine..."
amdocs,Software Engineering Specialist," From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are..."
Bosch Group,Software Project Manager," Metrics / data collection, analysis for the project and status reporting. The project Manager is responsible for leading SW project team in development/Testing..."
amdocs,SW Test Engineer," /B.SC in IT/ Computer Science/ Industrial Engineering/ Systems Analysis. From virtualized telecommunications networks, Big Data and Internet of Things to mobile..."
AstraZeneca,Senior Release Engineer," Bachelor degree in Computer Science, Engineering or other related fields. Experience in Data and Information Management strategies, operations, and technologies..."
Intel,HPC SW Validation Engineer," Bachelor degree, Master of Science or PhD in Computer Science, Computer Engineering or related with at least 4 years of experience in Software Development..."
Baxters,"JD Edwards, Technical specialist"," Master Data Management(MDM), Warehouse management , Hardware tracking. Logistics, Transportation, Order Management, Master Data Management...."
Oracle,DevOps / SRE, BS Computer Science or equivalent qualification from a renowned institute. Experience in large-scale data center builds and application services deployments...
amdocs,Software Support Engineer," From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are..."
amdocs,Java Engineering Specialist," From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are..."
NTT,SAP S4 Logistics Functional / QM," NTT DATA, Inc. About NTT DATA Services. Bachelors in Computer Science or equivalent work experience. At NTT DATA Services, we know that with the right people on..."
Bosch Group,Blockchain developer," Understanding of algorithms, data structures, cryptography and data security, and decentralized technologies. Work in collaboration with other specialties such..."
amdocs,C++ Support Engineer," From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are..."
Intel,System Validation Engineer," In Electrical Engineering, Computer Engineering, or Computer Science. Own system level validation activities for platform and commercial Intel Data Center..."
FreeAgent CRM,Full Stack Developers," Experience with database design schemas and data modeling. Outstanding software engineering skills such as data structures, algorithms and programming...."
Open Market,Software Development Engineer, A Bachelor’s Degree in computer science or equivalent experience. Thorough understanding of persistence (SQL or NoSql) and data modeling....
Svitla Systems,SENIOR BACKEND ENGINEER," Experience with data analytics. Design, develop and maintain code enhancements in the MapD Core Data Engine...."
amdocs,SR ETL Developer, Designs data storage systems and works to fill that system with the data that needs to be stored. Manage the process of loading business data into a data...
Intel,Engineering Manager," The Data Center Group (DCG) drives new products technologies from high-end co-processors for supercomputers to low-energy systems for enterprise and the cloud,..."
BlueOptima,Principal Software Engineer," Minimum Bachelor's degree in Computer Science or equivalent. You would be working on a complex single page web-application, which is data heavy and involves a..."
amdocs,Functional Test Engineer," Bachelor’s degree in IT/ Computer Science/ Systems Analysis or related. From virtualized telecommunications networks, Big Data and Internet of Things to mobile..."
Oracle,Software Developer 2," Solid knowledge of Data Structures, Algorithms, Operating Systems, Object-Oriented Analysis and Design, and other core Computer Science areas...."
Oracle,SysAdmin - Site Reliability Engineer, Databases and big data stores. BS in Computer Science or related field. It runs in 19 data centers around the world....
Cognex Corporation,Technical Support Engineer," Bachelor’s Degree in Computer Science or Electrical Engineering, or equivalent. In order to detect, identify and localize objects, make measurements, inspect..."
Intel,Linux System Developer Engineer," Degree in Computer Science, Electrical Engineering, Computer Engineering, or other related engineering disciplines with four years of relevant experience or M.S..."
WIZELINE,Software Engineer," Proficient solving algorithms challenges that involve data structures. Partner with multidisciplinary teams (Technical Writing, User Experience, Product..."
Hewlett Packard Enterprise,Environment Health Safety Expert, Advanced degree in related science field preferred. First level university degree in related science field recommended;...
amdocs,Solution Architect, Degree in Computer Science or Industrial Engineering &amp; Management - Information Systems. You will join the Amdocs Solution Architects community and participate...
Bosch Group,Embedded Software Team Leader," Electronics, Software Engineer, Computer Science, etc.). Metrics / data collection, analysis for the project and status reporting...."
amdocs,Software Engineer (Java) Graduate," From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are..."
amdocs,Network Specialist," Bachelor’s degree in Computer Science, Engineering, or equivalent experience required. From virtualized telecommunications networks, Big Data and Internet of..."
CalAmp,"Senior Quality Engineer, Supplier Quality (Mexico)", Ensure proper Quality data reporting to customer database/portal. BS Engineering (Electrical or Computer Science preferred)/ An associate's degree or other...
Oracle,Applications Developer 3," Intermediate level knowledge of Data Analytics, WebServices and other integration methodologies. Intermediate level knowledge of incorporating Chatbots,..."
Kueski,Back End Engineer, Solid foundation in computer science. Integrate with third party APIs to access external data. BS/MS/PhD in Computer Science or equivalent from top tier school....
Accedo,"Senior Software Engineer - Web (JavaScript), Guadalajara"," Degree in Computer Science, Software Engineering, IT or related discipline. Strong knowledge of data structures and algorithms to solve complex problems..."
Scalable Press,Product Manager," Experience managing large amounts of data. Bachelors degree(preferably in a technical discipline, such as computer science, engineering, math, or economics)...."
Jabil Circuit,Test Engineer III, Bachelors of Science in Electronics or Electrical Engineering. Compile and document data necessary to analyze performance and make recommendations for changes...
Bosch Group,Front End Developer," Familiarity with Data Analytics. Bachelor’s or Master’s degree in computer science, software engineering, or similar, or equivalent work experience in an..."
Oracle,Principal Development Operations (DevOps) Engineer," The applications will use data from Oracle’s Data Cloud, social media and other sources to drive automated outcomes in a number of horizontal and vertical..."
Oracle,CX Cloud - Senior Support Engineering Consultant," Excellent knowledge of the Fusion CRM data model. University degree in either Engineering (Production or Mechanical), Math’s, Economics, Computer Science or..."
Oracle,Senior Applications Engineer (AI / ML)," Oracle Adaptive Intelligent Apps is the next generation of business applications, using big data from multiple sources, combined with Machine Learning and state..."
HP,Strategic Development Manager, Works on complex problems where analysis of situations or data requires an in-depth evaluation of multiple factors....
NTT,SAP-FICO Consultant," NTT DATA, Inc. About NTT DATA Services. Bachelors in Computer Science or equivalent work experience. At NTT DATA Services, we know that with the right people on..."
Intel,Linux Security Developer Engineer," Degree in Computer Science, Electrical Engineering, Computer Engineering, or other related engineering disciplines with Proven work experience as software..."
Synechron Inc.,QA Automation Tester," Responsible for creating test data based on the requirements. Bachelor's Degree in Computer Science, Management Information Systems, or related...."
"Arrow Electronics, Inc.","Senior Web Developer, Frontend"," Bachelor’s Degree in Computer Science, MIS, Math, Engineering or equivalent technical experience. Ability to prove prior experience integrating multiple data..."
Intel,Senior Software Developer," Bachelors in Computer Science or equivalent is required, Master in Computer Science is a plus. The data center is the underpinning for every data-driven service..."
amdocs,Software Engineering Manager," From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are..."
Oracle,.Net Developer," Experience with ADO.net data providers. Typically requires a BS/MS in computer science from University. As a member of the MySQL software engineering division,..."
Reclutaenlinea,Back End Engineer para FINTECH," Solid foundation in computer science, with strong competencies in data structures, algorithms and software design optimized for embedded systems...."
"Magic Leap, Inc.",Quality Engineer," Conduct data collection and management in support of DOEs. BS engineering degree in Mechanical, Materials Science, Optics, or Controls...."
NXP Semiconductors,Solutions Web Manager," BS Electrical Eng., Computer Science. Aggregate weekly, monthly and quarterly data from various sources. Learn and utilize a number of web tools to publish and..."
Hewlett Packard Enterprise,Regional e-Service Portal Administrator and Automation Lead," Major in Computer Science or Computer coding experience is preferred. With the industry’s most comprehensive portfolio, spanning the cloud to the data center to..."
Kueski,Software Engineer Full-Stack, Solid foundation in computer science. Integrate with third party APIs to access external data. BS/MS/PhD in Computer Science or equivalent from top tier school....
NTT,SAP S/4 Finance Functional consultant," NTT DATA, Inc. About NTT DATA Services. Bachelors in Computer Science or equivalent work experience. At NTT DATA Services, we know that with the right people on..."
Propelics,SQL Server DBA," Understanding of data dictionaries and how data will flow through successive stages. Recommend strategies for data acquisition, archive recovery, and database..."
Open Market,Senior Network Engineer," Bachelor’s degree in Computer Science, Engineering, or equivalent experience required. Day-to-day operational support of a multi-site geo-redundant data center..."
Esprezza Concepto Humano,Desarrollador Net," Computer Science Engineer. Data base knowledges, scripting, RPA. C# Developer, Data Analysis, .Net Developer. 1 year as developer...."
Kueski,Sr. Software Engineer Front End, Solid foundation in computer science. Implement data visualization technologies to improve the information flow....
Intel,Sr. System Validation Engineer," In Electrical Engineering, Computer Engineering, or Computer Science. The data center is the underpinning for every data-driven service, from artificial..."
Emerson,Supplier Quality Engineer," Define problems, collect data, establish facts and draw verifiable conclusions. Good working knowledge of computers, data acquisition, and computer aided..."
Oracle,Senior DevOps Engineer," Drive platform maturity for multi-user collaboration and planning experiences, data pipes, data integrations, API services and other data distribution services...."
Plexus,Quality Engineer Il," Ability to apply knowledge, logic and reasoning using mathematics, statistics, science, and engineering applications...."
Bosch Group,Back End developer," BS degree in Computer Science, Engineering, or equivalent experience. Become a key partner to data scientists on solving technical challenges...."
amdocs,Java Support Engineer Sr.," From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are..."
"Barbachano International, Inc.",Sr. Applications Support Engineer," BS/MS in Electrical Engineering, Computer Science, or Related Field. You will enable customer specific customizations requiring advanced scripting, programming..."
Kueski,Software Engineer Back End, Solid foundation in computer science. Integrate with third party APIs to access external data. BS/MS/PhD in Computer Science or equivalent from top tier school....
