company,job,summary
Imperva,Technical Support Engineer - Mexico City," Cyber Security is a big deal. IMPV), is a leading provider of cyber security solutions that protect business-critical data and applications...."
ENGIE México,Especialista Comercial, Elaborar e implementar el Plan de Fidelización a partir del análisis de la Big Data. ENGIE en MÉXICO....
Cisco,Customer Experience Support Engineer - Wireless," Today, we are building teams that are expanding our technology solutions in the mobile, cloud, security, IT, and big data spaces, including software and..."
American Express,Mexico Finance Director," Use of macros and Computer skills in programming, such as SAS, SQL, Tableau, Cornerstone and other big data analytics and capabilities is preferable...."
Cisco,Consulting Engineer," Today, we are building teams that are expanding our technology solutions in the mobile, cloud, security, IT, and big data spaces, including software and..."
Softtek,PROGRAMADORES Java* Capacitación BIG DATA," Interés en realizar una carrera profesional de Big Data, Análisis e Interpretación de Datos, Explotación de la Información y en general “Business Analytics”...."
Amazon.com,Big Data and Analytics Specialist Solution Architect," Demonstrated industry leadership in the fields of Database and/or Data Warehousing, Data Sciences and Big Data processing. Are you a Big Data specialist?..."
Cisco,HTTS RS (CORE) Customer Support Engineer," Today, we are building teams that are expanding our technology solutions in the mobile, cloud, security, IT, and big data spaces, including software and..."
Scotiabank,"Director Execution, Technology"," You must be informed and with knowledge of latest technology trends like Cloud, Big Data and IoT. ¡Gracias por tu interés en Scotiabank!..."
Procter & Gamble,Consumer & Market Knowledge Intership, One day you could be exploring human decision-making &amp; how the brain works and another deep-diving into big data sets to spot patterns and build findings to...
Tech,Accountant TS - MEX," Maintains a big picture view. Collect analyze and report on data. Understands a long-term, big picture view and identifies obstacles and opportunities in their..."
Clip,Director of Product Management, Ability to analyze market data and make data driven decisions based on the data. Clip is changing the way payments work in Mexico!...
CHEP,"Director, Human Resources - Latin America", Demonstrated ability to see the big picture of a complex matrix organization. Enhance performance of employees by implementing actions to increase engagement...
NTT,ITIL Service Manager," NTT DATA, Inc. About NTT DATA Services. Collaborates with internal resources and customer during escalations Leverages big data analysis to provide customer..."
Uber,"Marketplace Leader, CommOps"," A history of using data to make change, including the creation and use of performance dashboards. The way we cope with those issues will play a big part in our..."
Mojio,"Director, Customer Success - Mobile Operators (LATAM)"," With more than 7 billion miles worth of real-world driving data, we have created one of the largest and fastest-growing big data pools in the automotive..."
Amazon.com,Enterprise Service Manager - AWS Mexico," Data (Big Data) Strategy; Strong IT infrastructure and data center knowledge including software defined infrastructure and networking, virtualization, compute..."
Kids II Inc,Key Account Manager-Mexico/Latin America," That’s a big task! Develop, monitor, and analyze sales forecasts and related data including profitability, and rate of sale...."
Wipro LTD,Solution Architect Big Data, SAS Base Big Data. Proficiency in data-handling and analysis software Experience in extracting data and creating SAS datasets from various sources like Teradata...
Cisco,Network Consulting Engineer," Today, we are building teams that are expanding our technology solutions in the mobile, cloud, security, IT, and big data spaces, including software and..."
