company,job,summary
NCR,Project/Program Manager (Buenos Aires/Argentina)," Education or equivalent experience 4 year Engineering, Computer Science, or Business degree, Masters such as MBA preferred...."
Cognizant,Functional Tester," If requested identify the test data for UAT. Qualification:Graduate (Bachelors Degree in Computer Science or in STEM Majors (Science, Technology, Engineering..."
MuleSoft,Software Engineering in Test," Great software development skills, computer science fundamentals and elegance in your work. A BS or MS degree in Computer Science or related discipline or with..."
IQVIA,Clinical Trials Assistant," Join us on our exciting journey!IQVIA™ is The Human Data Science Company™, focused on using data and science to help healthcare clients find better solutions..."
IQVIA,Sr HR Coordinator," IQVIA™ is The Human Data Science Company™, focused on using data and science to help healthcare clients find better solutions for their patients...."
AlixPartners,Digital Analytics Developer, The person must have a detailed understanding of the underlying data and data structures of multiple systems to allow in depth analysis of existing and...
Cisco,Associate Systems Engineer (Full Time) - Argentina," Today, we are building teams that are expanding our technology solutions in the mobile, cloud, security, IT, and big data spaces, including software and..."
JP Morgan Chase,Infrastructure Ops Developer," Integrates enterprise components (e.g., reference data, security, messaging) to build larger systems. Participates in the development of integration elements,..."
Kimberly-Clark,BISO - Business Information Security Officer," Bachelor's degree required, preferably in computer science or information systems. Develop and maintain in depth understanding of region/business unit processes..."
Jampp,Partner Solutions Engineer," Solid understanding of the online marketing space, specifically around data management platforms, 3rd party data companies, and measurement solutions...."
Nexius MEA,Intermediate Developer," BS/MS degree in Computer Science, Engineering or a related subject. Ability to write complex, highly-optimized queries across large volumes of data...."
Grandata,Blockchain Developer," Bachelor's or Master's degree in Computer Science, Software Engineering or a related field. Grandata is a San Francisco-based company that develops products..."
Cognizant,Application Support," Science / Engineering Graduate. Scope the test data characteristics. Conduct a system analysis by reviewing criticality of modules, data strength, new system or..."
QuintilesIMS,Associate Laboratory Project Set Up Manager," Bachelor's degree in science related field and 1-3 years of clinical or research industry experience, including 1 year project management experience;..."
IQVIA,Project Management Analyst," IQVIA™ is The Human Data Science Company™, focused on using data and science to help healthcare clients find better solutions for their patients...."
Grupo San Cristóbal,Científico de Datos," Será el encargado de liderar el análisis de datos en los distintos proyectos que requieran un enfoque de Data Science, desarrollando modelos predictivos del..."
ExxonMobil,Software Developer," Developer, Engineer, Cloud, Computer Science, .NET, Technology, Engineering. Strong object oriented programming and design, familiarity with basic data..."
Nexius MEA,Intermediate QA," BS/MS degree in Computer Science, Engineering or a related subject. Create or use existing test tools that facilitate data gathering and test method execution...."
"Medallia, Inc.",Senior Performance Engineer," Experience creating tailored visualizations for performance data. BS/MS in Computer Science, Software Engineering, or related field preferred...."
amdocs,DWH/BI (ETL) Development Specialist @ Argentina," Experience in Information Technology in developing and implementing the Data Warehousing (ETL) applications using various data warehousing tools like Datastage,..."
"Medallia, Inc.",Database Administrator, 3+ years knowledge and experience with Cassandra or similar No-SQL data stores. BS or equivalent experience in Computer Science or other technical domain....
Grandata,Backend Developer," Strong knowledge on computer science fundamentals. Data processing, information visualization and business analysis...."
amdocs,Solutions Sales Expert @ CABA," College degree in Computer Science or Engineering or related discipline, or equivalent work experience required...."
Google,"Customer Engineer, Google Cloud Platform (Spanish)"," Master's degree in Computer Science or other technical field with experience with Big Data, PaaS, and IaaS technologies...."
OLX Group,Product Manager, Computer Science degree is a plus. Contributing to the collection of relevant data to track the success of new programs and features and know how and when to...
Lenovo,Services Solution Designer," Bachelor's degree in Computer Science, Engineering, or Business Administration. Lenovo's Data Center Services are critical to our overall success and represent..."
Baker Hughes,PETROLEUM ENGINEER SPECIALIZED IN RESERVOIRS, To present data and reports to clients either individually or as part of the larger project team. Bachelor's Degree in Petroleum Engineering or related earth...
JP Morgan Chase,CORP - Wholesale Credit Analytics & Solutions - Quality Control Team – Analyst," Must have experience in data analytics and in dealing with large quantities of data. Degree in a financial, mathematical, or computer science program...."
Synergic Partners,Senior Data Scientist (Buenos Aires)," Big Data &amp; Data Science:. BIG DATA, BIG OPPORTUNITY! Generación y diseño de programas analíticos en el campo Big Data &amp; Analytics...."
Jampp,Product Manager," The role requires thriving on cross-functional collaboration and partner with engineering, design, data science, customer success, marketing and the rest of our..."
JP Morgan Chase,Infrastructure Ops Developer - DevOps," Integrates enterprise components (e.g., reference data, security, messaging) to build larger systems. Participates in the development of integration elements,..."
JP Morgan Chase,Software engineer - Javascript developer," The team is on a mission to leverage data and data science technologies to streamline RFQ and bid list workflows, improve trading efficiencies, and increase..."
General Electric,PETROLEUM ENGINEER SPECIALIZED IN RESERVOIRS, To present data and reports to clients either individually or as part of the larger project team. Bachelor's Degree in Petroleum Engineering or related earth...
AgileEngine,Junior Java Developer," BS in Computer Science or equivalent; Experience with real-time data processing and analytics; With over $500 million in project lending capacity, Redaptive..."
"Medallia, Inc.",Systems Engineer," Strong communication skillsBS/MS in Computer Science, Engineering, or related field preferred. We are building a next generation global data center operating..."
JP Morgan Chase,Software Engineering - Javascript Developer, BA/BS degree in Computer Science or related field or technical experience. Global Technology Infrastructure (GTI) in JPMorgan Chase is a worldwide organization...
JP Morgan Chase,Software Engineering - Python Developer," BA/BS degree in Computer Science or related field or technical experience. Understanding of technologies such as virtualization and global infrastructure, load..."
Conexion Consultoría en Recursos Humanos,Android,"  Strong object oriented design and coding skills and computer science fundamentals in data structures, algorithms, and complex analysis...."
QuintilesIMS,Operations Specialist (with French or Portuguese)," Bachelor’s Degree in a Life Science is required. Receive, triage, review and process Lifecycle safety operational data...."
JP Morgan Chase,Infrastructure Developer - Unix System Administrator," Integrates enterprise components (e.g., reference data, security, messaging) to build larger systems. Participates in the development of integration elements,..."
Vlocity,Technical Support Engineer, Experience with Salesforce.com in an administrative/developer capacity and a detailed understanding of the Salesforce.com data model and architecture is a plus....
Conexion Consultoría en Recursos Humanos,DevOps Engineers,"  Bachelor’s degree in Computer Science or relevant field.  Support operationally critical environment, using monitoring tools and scripts, data feeds and..."
Cisco,Customer Success Manager," People, processes, data, and things. 4 year Engineering, Computer Science, or Business degree, Masters such as MBA preferred...."
JP Morgan Chase,Infrastructure Developer," Integrates enterprise components (e.g., reference data, security, messaging) to build larger systems. Participates in the development of integration elements,..."
