company,job,summary
University of California San Francisco Medical Cen...,Decision Support Financial Analyst," Master’s degree in data science, statistics, analytics, finance, or health care administration with a focus on value...."
goPuff,Lead Data Engineer," Collaborate with data product manager, data analysts and other functions to gain a deep understanding of how data impacts decision-making...."
All-In Analytics,"Sr. Data Scientist, Customer Logistics Analytics", Build and maintain production data within a data warehouse. Join a growing data science team and make a big impact on business....
BlueVine,Performance Marketing Operations Analyst," Partner closely Marketing, Product, Data Science and Business Operation teams to ensure cohesive campaign execution...."
Upstart,Machine Learning Engineer, Applying to a role on the Data Science team at Upstart:. We also consider candidates for all levels of Data Science roles when candidates apply....
Harnham,Principal Data Scientist," Principal Data Scientist. Harnham has recently partnered with a rapidly growing, early-stage startup looking for an individual to join their data science team...."
Lawrence Berkeley National Laboratory,Machine Learning Postdoctoral Scholar," The goal of these networks is to effectively support complex distributed science big data needs, across complex multi-domain infrastructure such as DOE..."
GoDaddy,Senior Data Engineer," 5+ years of experience in data engineering and building large scale data platforms. Be well-versed in ETL of large-scale data, low-latency queries, real-time..."
Levi Strauss & Co.,Sr. Data Engineer," The Senior Data Engineer reporting to Director, Data Engineering and Analytics will be responsible for building data models and data pipelines for one or more..."
Genentech,Statistical Programmer Analyst, Or advanced degree in Data Science related field (e.g. Knowledge and experience on data processing and analysis of high dimensional data.;...
All-In Analytics,"Sr. Data Scientist, New Products"," Build and maintain production data within a data warehouse. Join a growing data science team and make a big impact. Senior Data Scientist, New Products...."
Autodesk,Senior Data Scientist," Experience with data science toolkits like:. Mathematics, Physical Sciences, Statistics/Analytics, Computer Science, or other relevant fields...."
Sentient Investment Management,Machine Learning Research Scientist - Investment Management, We are seeking an exceptional Machine Learning Research Scientist to join our investment strategy research team. You will participate in cutting edge research...
Google,"Software Engineer, YouTube Machine Learning", PhD in Computer Science. BA/BS in Computer Science or related technical field or equivalent practical experience....
Uber,Sr Data Center Engineer - uMetal," The Data Center Engineering team designs, builds, and operates Uber’s global production data facilities. Data Center Engineering, Design &amp; Build-Out...."
SquareTrade,Senior Data Engineer," You must have an advanced understanding of MPP databases, data modeling &amp; schema design, large-scale data processing frameworks and experience building data..."
Twitter,"Software Engineer, Machine Learning"," You’ll apply data science, machine learning, and/or graph analysis techniques to a variety of modeling and relevance problems involving users, their social..."
Redfish Technology - High Tech Executive Recruiter...,Data Scientist - Social Video Platform, #22866 Data Scientist - Social Video Platform. Have worked creatively with ambiguous data sets. You'll build automated dashboards to drive data awareness...
Ipsy,"Software Engineer, Big Data"," You would be responsible for developing data pipelines, creating ETLs to aggregate data in the data warehouse, and guiding how this data is used by other teams..."
Electronic Arts,Data Scientist (eCommerce)," Analyze large data sets to identify behavior trends among good users and bad actors, using statistics, data mining, and machine learning techniques...."
,Data Engineer," Strong cross-functional experience in data management, onboarding and attribution of large data sets. Recruiter working at Data Inc...."
Nielsen,Sr. Data Scientist," Master’s in statistics, data science, applied mathematics, economics, quantitative social sciences, operations research, or hard sciences...."
Grand Rounds,Data Scientist, Data scale ranges from small data sets to large multi-terabyte clinical information in distributed database systems. Get familiarized with clinical data....
Genentech,Data and System Integration Engineer," Data and System Integration Engineer. Bachelors in computer science, engineering, information technology, or other related field...."
Doximity,Machine Learning Engineer, 3+ years experience collaborating with data science and data engineering teams to build and productionize machine learning pipelines....
Wealthfront,Software Engineer - Data Platform," Data pipelining infrastructure:. Throughout our data pipelines we run automated sanity checks on live data, alerting if any data is stale or values fall outside..."
Visa,Machine Learning Engineer - Security Engineering," Searching, sorting, optimization, dynamic programming) while performing data engineering tasks around aggregation and data synthetization from a multitude of..."
Affirm,Software Engineer - Machine Learning," Deep understanding and experience with data engineering, data analysis, and statistical modeling, in the development of a real-time service...."
Credit Karma,Senior Data Engineer," Focus on data quality! As a Data Engineer on the Analytics Systems team, you’ll work with a talented team of engineers to improve Credit Karma’s data pipeline..."
Salesforce,"Sr. Data Infrastructure Engineer, Heroku (all levels)"," The Department of Data is a team that provides performant data services in a highly dynamic environment. Software Engineer, Dept of Data - Heroku...."
Credit Karma,"Senior Software Engineer, Data"," Learn how analytics data is packaged server side, sent from front end, and organized in our Data Warehouse to evangelize across engineering and drive..."
Rally Health,"Principal Data Engineer, BI"," 8+ years experience in ETL, Data Engineering, or BI fields with concentration on data transformations...."
Fanatics Inc.,Lead Data Scientist, Overall 10+ years of industry experience in data science and machine learning with few years of experience leading and managing data science projects and teams....
Genentech,Data Scientist - Technical Development," PhD in a relevant discipline such as Bioinformatics, Computational Biology, Data Science, (Bio)statistics, Bioprocess Informatics, (Bio)process Engineering,..."
Dropbox,Machine Learning Engineer, In Computer Science or related field with research in machine learning. BS and MS in Computer Science or related field with research in machine learning....
Payette Group,Data QA Engineer, Help build a next generation data processing pipeline and data warehouse to support our SaaS analytics platform. Previously created a data testing harness....
Harnham,Director of Data Engineer," In this Director of Data Engineering role, you will have the opportunity of being a hands-on leader in data engineering who has extensive experience in..."
IQ Workforce,Data Science Lead (Emerging Products)," Data Engineers and Sr. This Data Science Lead will be a team lead for 3 existing analysts and will be the primary analyst for the Emerging Products team,..."
All-In Analytics,"Sr. Data Scientist, City Operations", Build and maintain production data within a data warehouse. Join a growing data science team and make a big impact....
Gilead,Sr. Data Scientist," Gilead Sciences, Inc. Analyze traditional Data sources and Big Data to provide insight across organization...."
Lattice Engines,Senior Data Science Engineer, We are looking for a talented Data Engineer who wants to transition into a combined Data Science and Data Engineering role as a member of the data science team....
Fathom Health,"Software Engineer, Machine Learning"," Work with a range of structured and unstructured data sources. Managing large-scale crowd-sourcing data labelling and acquisition (Amazon Turk, Crowdflower, etc..."
Snowflake Computing,Data Platform Engineer (Client Security)," Snowflake Computing, the cloud data warehousing company, has reinvented the data warehouse for the cloud and today’s data...."
Harnham,Predictive Modeling Analyst, This company is within the data rich investment space and looking for a skilled modeling analyst to grow out their data analytics team....
ThoughtWorks,Senior Data Engineer, Understanding of how to architect solutions for data science and analytics. Proven track record of Innovation and expertise in Data Engineering....
CareDx,Director/Sr. Director of Data Science, Director of Data Science. Provide thought leadership around data science for CareDx. Define best practices in data science for the organization....
Levi Strauss & Co.,Sr. Big Data Engineer," The candidate must demonstrate knowledge of full life cycle of data warehouse implementation process, from business requirements through logical modeling,..."
Stride Search,Data Engineer, Were seeking an exceptional Data Engineer to work on data products at the core of our company's business. As a Data Engineer you will:....
Coffee Meets Bagel,Machine Learning Engineer," The ideal candidate will have experience building high throughput data pipelines at large scale, as well as experience working with data scientists to deploy..."
All-In Analytics,Data Scientist," Seeking Data Science &amp; Data Engineering candidates who can speak Mandarin with Python, SQL, Hadoop or Spark skills...."
Google,"Data Scientist Technical Lead, Engineering"," Directly manage a data science team. 10 years of relevant work experience in data analysis or related field (e.g., as a statistician / data scientist /..."
Twitter,Machine Learning Engineer- Ads Targeting & Modeling," Common data structures and algorithms. BS, MS, or PhD in computer science, data mining, machine learning, information retrieval, recommendation systems, natural..."
Omada Health,Senior Data Engineer," As a key member of our data team, you will help design, build, and scale our data pipelines, data warehouse, and machine learning infrastructure...."
Moody's Analytics,Data and Service Engineer - Enterprise Risk Solutions," Build processes supporting data transformation, data structures, metadata, dependency and workload management...."
Cruise Automation,Staff Engineer - Machine Learning," PhD in Robotics, Computer Science, etc. or equivalent in industry experience. We're the driverless car company...."
CircleUp,Machine Learning Engineer, Build capabilities that increase the momentum of the Data Science team. Remove Engineering roadblocks and ensure the Data Science team has the tools needed to...
Trulia,Data Scientist (Computer Vision)," Strong foundation in computer science, algorithms, data structures, machine learning and statistics. As a computer vision and deep learning expert in Trulia..."
Clara,Machine Learning Scientist," ML in practice – e.g., selection bias mitigation, ROC analysis, field performance analysis, data mining...."
BNY Mellon,Senior Quant Equity Research Analyst, Experience in handling large data sets and performing both cross-sectional and time-series analysis using statistical/programming software such as Python...
Oracle,Principal Data Scientist, Advanced data science tools such as R or Python. Principal Data Scientist-18000P4K. Are you a seasoned engineer or data scientist who has extensive experience...
System1 Biosciences,Machine Learning Scientist," Experience working in biotech image processing or gene expression data ideal. PhD in a quantitative field such as physics, computer science, or theoretical..."
All-In Analytics,"Sr. Data Scientist, Consumer Package Goods", Build and maintain production data within a data warehouse. Join a growing data science team and make a big impact in Consumer Package Goods....
Jobspring Partners,Data Engineer (San Mateo), Geospatial Data Experience. This role will be integral in designing and building out their data infrastructure and data pipelines to support their real-time...
Doximity,"Senior Data Scientist, Newsfeed", Excellent problem-solving skills and ability to connect data science work to product impacts. Our data science team is deliberate and self-reflective about the...
PwC,Machine Learning Architect," And, data security (including data masking and related data protection techniques). Design and development of data models, extraction code and cleansing..."
All-In Analytics,Sr. Data Scientist of Products, Build and maintain production data within a data warehouse. Join a growing data science team and make a big impact. Senior Data Scientist of Products....
Telecare Corporation,Program Evaluation Research Analyst - National Behavioral Health Corp. 901," Data coding and entry. Background in social science research methods including questionnaire construction, qualitative data collection and analysis and..."
Lattice Engines,Senior Data Scientist," Our mission is to make data science accessible to everyone and to automate the process of data preparation and data modeling, with minimum end users involvement..."
Uber,Lead Data Scientist - Financial Products," As a Data Scientist on the Financial Products team, you'll take a leadership role in shaping and implementing the product data science effort across a global..."
Trulia,Senior Data Warehouse Engineer," BS in Computer Science or equivalent and 5 years of data warehousing or big data processing experience. We work closely with Analytics, Tracking, Data Science,..."
Carrot Inc.,Sr. Data Engineer," Implement Amazon Cloud (AWS) services for data connectors, ELT, data cleansing, data summarization, and automated data QA...."
Maven Wave Partners,Presales Solutions Architect | Machine Learning," Machine Learning, Analytics/Big Data, Artificial intelligence. Bachelor's degree in Computer Science or a related technical field, or equivalent practical..."
FivePrime Therapeutics,Senior Financial Analyst - Research/CMC, Job Description The Sr. Financial Analyst is the financial partner to Five Prime’s Chief Scientific Officer and CMC organizations. This position participates...
Reflektive,Senior Data Engineer, Work with the Data Extraction and Data Science engineers on normalization and analytical processes. Enhance and further develop Big Data processing pipelines...
Macy's,"Senior Analyst, Digital Analytics (macys.com)"," Bachelor’s (Masters preferred) in Mathematics, Statistics, Business, Economics, Data Science or related quantitative degree with 4+ years of working experience..."
Iterable,Software Engineer - Machine Learning," Experience handling large-scale data, big data platforms, and distributed systems. Conduct ad-hoc data analyses;..."
Financial Technology Partners,Senior Research Analyst - Payments, FT Partners is seeking a Senior Research Analyst. This analyst will cover the Payments sector to complement its growing Research team. The Senior Research...
Adobe,"Applied Scientist, Machine Learning"," Experience with Spark, big data processing, Hadoop. MS in Computer Science (or related field – Physics, Math, Statistics, Bioinformatics), PhD nice to have...."
SQA Solution,Lead Data Engineer," Lead Data Engineer responsible for the management of a data lake / data warehouse solution including data engineering, data curation and data operations /..."
Box,Sr. Data Operations Engineer, The data architecture will help surface faster data insights from product and GTM data via self-serve ETL capabilities to enable business....
Payette Group,"Data Scientist, Business Insights", Consistently evolve data model &amp; data schema based on business and engineering requirements. Be able to work autonomously throughout the data science project...
Informatica,Big Data Architect / Staff Engineer," Big Data Architect/Staff Engineer, Data Security Group. The Data Security team is on an ambitious mission to solve the ever-advancing security concerns in..."
All-In Analytics,"Sr. Data Scientist, Inventory", Build and maintain production data within a data warehouse. Join a growing data science team and make a big impact....
Trulia,"Senior Technical Product Manager, Data Science"," You will own the roadmap for our data science team, which drives personalization on Trulia. You will identify strategic opportunities across Trulia to apply..."
zesty.ai,Senior Data Engineer," Working on data cleansing, batch processing, data transformations, and other data manipulations to enable our data science efforts...."
Castle Global,Machine Learning Engineer," We label training data through Hive Data, a distributed workforce of over 300,000 workers around the world generating millions of high quality pieces of data a..."
Tenable,Principal Software Engineer - Data Pipeline," Experience with a variety of data storage solutions (e.g. As a Principal Software Engineer at Tenable, you play a key role in the delivery of highly reliable,..."
All-In Analytics,Sr. Finance Data Scientist, Build and maintain production data within a data warehouse. Senior Finance Data Scientist. Quantitative research and data analysis....
Walmart,"Director, Product Management -- Data Science"," Work with rock star data science and data engineering teams in a fast paced, agile development process. Ability to prioritize competing data science initiatives..."
Federal Reserve Bank of San Francisco,Big Data Engineer," Big Data Engineer-255702. Bachelor’s degree, Master’s degree preferred, in computer science, MIS, engineering, statistics, data science or related field or..."
Shutterfly,Senior Data Engineer," Build data expertise and own data quality for the pipelines you build. If you like applying your expertise with data-warehousing technical concepts, CS..."
Jobspring Partners,Lead Data Scientist, 4+ years of data science experience working in an environment with large diverse data sets. Knowledge of consumer data space....
Visa,Data Scientist / Sr. Data Scientist," You will join one of the Data Science focus areas (e.g., banks, merchants &amp; retailers, digital products, marketing) with an opportunity for rotation within Data..."
Womply,Sr. Financial Analyst," We’re hiring in San Francisco, Portland, and Lehi, Utah for engineering, DevOps, design, data science, sales, marketing, business development, account..."
Credit Karma,Senior Product Analyst," The role is highly cross-functional, which means you get to work with product, engineering, marketing, business development, and data science...."
All-In Analytics,Sr. Marketing Data Scientist, Build and maintain production data within a data warehouse. Join a growing data science team and make a big impact. Senior Marketing Data Scientist....
Stessa,Senior Data Engineer, Build and refine a fault-tolerant data ingestion pipeline into our data warehouse. You will develop data pipelines from disparate sources and bring structure to...
All-In Analytics,Sr. Data Engineer," Data processing with large-scale systems &amp; complicated data models. Data warehousing, dimensional modeling. Build and maintain data pipelines...."
Genentech,Senior PHC Data Scientist - RWD Collaborations," Demonstrated track record of developing and execution of data science research projects, patient-level data analyses (e.g., real world data, surveys, clinical..."
Wells Fargo,Data Scientist / Analytic Consultant 4," Conduct exploratory data analysis, mine data (e.g., clustering), and prepare modeling datasets from multiple data sources. Big Data experience...."
Harnham,Head of Machine Learning," Data Science, Data Scientist, Deep Learning, Tensorflow, Neural Networks, Big Data, R, SQL, Python, Insight, Analytics, Data, Statistics, Modelling, Machine..."
Macy's,"Staff Engineer, Machine Learning (macys.com)", Build complex data sets from multiple data sources. Responsible for building large data sets from multiple sources in order to build algorithms for predicting...
Amazon.com,"Senior Software Development Engineer - Data, Alexa Internet", Collaborate with fellow technologists and contribute meaningfully in areas such as data sciences and data security....
All-In Analytics,"Sr. Data Scientist, HR Analytics"," Build and maintain production data within a data warehouse. Join a growing data science team and make a big impact. Senior Data Scientist, HR Analytics...."
"Williams-Sonoma, Inc.","Senior Analyst, Consumer and Business Insights", Predictive analytics and data science best practices. Source data identification. Experience analyzing clickstream data....
Niantic Labs,"Software Engineer, Machine Learning", Able to work with large datasets from distributed data stores. You have experience analyzing and creating empirically verifiable models based on real-world data...
Clarity Insights,"Data Scientist - Principal - San Francisco, CA", Our Data Science service line has one vision:. Minimum of 1-2 years of professional work experience with data mining on big data platforms (i.e....
OpenAI,Machine Learning Engineer SAN FRANCISCOMEMBER OF TECHNICAL STAFFFULL-TIME," Designing, implementing, and improving a massive-scale distributed machine learning system), writing bug-free machine learning code (surprisingly difficult!),..."
Etsy,Machine Learning Engineer, Etsy is looking for a Machine Learning Engineer to join our Data Science teams. Degree in Computer Science or related engineering fields....
Celtra Inc.,Senior Data Engineer," As a Data Engineer within our Analytics team, you will build, maintain and improve all parts of our data processing pipeline, processing 6B+ analytics events..."
Guardant Health,Sr Data Integration Engineer," Expertise in data modeling and developing schemas (relational and NoSQL data stores). Collaborate with other software engineers, architects and customers to..."
Accenture,Data Science Manager," Our Digital practice looks for professionals in Data Engineering, Data Science and Applied Intelligence areas of expertise to expand horizons in Healthcare...."
Twitter,"Senior Business Intelligence Analyst, Corporate Finance"," BA or BS in Statistics, Business, Analytics, Data Science or related field. Strong drive for data integrity, process definition, and organizational alignment...."
CBS Interactive,Senior Software/Data Engineer," Experience with common data science toolkits, such as Jupyter, NumPy, MatLab, or R. Very strong grasp of classification algorithms, data analysis, and data..."
"Niantic, Inc.","Software Engineer, Machine Learning", Able to work with large datasets from distributed data stores. You have experience analyzing and creating empirically verifiable models based on real-world data...
Womply San Francisco,Sr. Financial Analyst," We're hiring in San Francisco, Portland, and Lehi, Utah for engineering, DevOps, design, data science, sales, marketing, business development, account..."
Ten-X,Sr. Data Engineer," We are looking for a top tier senior data engineer to work with our data science team on building out Pipelines, Data Modelling and Data related tools...."
Financial Technology Partners,Senior Research Analyst - Banking / Lending Tech, FT Partners is seeking a Senior Research Analyst. This analyst will cover the Banking / Lending Tech sector to complement its growing Research team. The...
Franklin Templeton Investments,Data Scientist – AI Machine Learning – Investment Management, Data mining using state-of-the-art methods. Creating automated data consistency checks (e.g. Machines can consume and analyze more data than humans....
LeapYear,Software Engineer - Machine Learning R&D, Experience in enterprise data science and data engineering. Background applying advanced machine learning techniques in enterprise data environments....
Twitter,Machine Learning Infrastructure Engineer, Common data structures and algorithms. Passionate about working with large unstructured and structured data sets....
JBCConnect,Director of Data Science Engineering, 5+ years of Data Science and Data Engineering experience. Director of Data Science Engineering. Our SF based tech ecommerce client is looking for a Director of...
Payette Group,Data Engineer," Optimization of performance of big data processing through improving algorithm, data structure or data pipeline...."
Cheetah Mobile,"Sales Engineer, Big Data Technology"," Sales Engineer, Big Data Technology. Responsible for selling the Big Data products in US market. Comprehensive knowledge and deep understanding in Big Data..."
Slack,Senior Data Engineer - Data Modeling/ETL - Data Engineering," 5+ years of experience working in data architecture, data modeling, master data management, metadata management...."
Harnham,Senior Data Scientist, Senior Data Scientist. Work on a variety of exciting projects and help lead different data science initiatives....
Center for Sustainable,Senior Research Analyst," Master's degree in statistics, economics, computer science, social science, environmental science, public policy, engineering or related field...."
Castlight Health,Senior Data Scientist," You will work with other data scientists on an unparalleled set of healthcare data and data from other sources, such as wearables...."
Electronic Arts,Software Engineer III - Data," A solid foundation in computer science, with strong competencies in algorithms, data structures, and software design...."
Uber,Senior Business Analyst - Global Safety Support, Data Engineering background. At least 3 years of data science / business intelligence / investment banking / consulting or related experience....
Snowflake Computing,Senior Software Engineer - Data Ingestion," Snowflake Computing, the cloud data warehousing company, has reinvented the data warehouse for the cloud and today’s data...."
Autodesk,"DevOps Engineer, Autodesk Data Platform"," DevOps Engineer, Autodesk Data Platform. BS in Computer Science, Electrical Engineering, or a related degree...."
Sizmek,Software Engineer - Artificial Intelligence & Machine Learning, How do you use the rich data we have about users to make predictions? Sizmek’s technology platform supports a real-time bidding system that handles over 100...
Exabeam,Lead Software Engineer - Data Ingestion," In Computer Science or related. The Exabeam Security Intelligence Platform uniquely combines a data lake for unlimited data collection at a predictable price,..."
Kinsa Inc.,Senior Data Engineer," Built large scale, data driven applications including elements like real-time streaming, batch data aggregation, data modeling, data cleaning, anomaly detection..."
Redfish Technology - High Tech Executive Recruiter...,Data Scientist - Live Television Streaming Service," BS or MS degree in Statistics, Math, Data Science, CS or related discipline. Design, build, and maintain automated dashboards that connect data from internal..."
Genentech,"PHC Associate Data Scientist/Data Scientist, Real World Data Analytics"," Dive into Data:. MSc, PhD or similar qualification in a quantitative data science discipline (e.g., statistics/ biostatistics, epidemiology, bioinformatics,..."
Wealthfront,Staff Software Engineer - Data Platform," Data pipelining infrastructure:. Throughout our data pipelines we run automated sanity checks on live data, alerting if any data is stale or values fall outside..."
Affirm,Engineering Manager - Machine Learning," Testing and validation systems for data pipelines, business logic, and decision models. Research and develop tools enabling our data scientists to efficiently..."
JBCConnect,Marketing Data Scientist," Marketing Data Scientist. As a Data Scientist you enjoy working with large sets of data, transforming them, and solving complex problems...."
Harnham,Senior Deep Learning Data Scientist, 5+ years experience in a Data Science or Analytic capacity. Senior Deep Learning Data Scientist - HealthTech. ROLE OVERVIEW -SENIOR DEEP LEARNING DATA SCIENTIST...
GoPro,Senior Data Scientist," Data Engineering experience using Java, Scala, Python or similar programing language to produce analytic data pipelines and data sets...."
Harnham,Lead Data Engineer, Lead Data Engineer. Building robust data pipelines to process data from both internal and third party sources....
Dolby,"Senior Analyst, Media Analytics", Proven experiences in data processing and analysis among large data sets. Analytical and data driven mind-set....
Fanatics Inc.,Sr. Data Engineer," You will collaborate closely with database architects, data analysts and data scientists on various data initiatives...."
Castlight Health,"Senior Software Engineer, Data Science", Understanding of scaling and performance tradeoffs when dealing with large data sets. Bachelor's in Computer Science or related field (MS or PhD preferred)....
Credit Karma,"Senior Data Scientist, Engineering", Credit Karma’s fast growing Data Sciences team is seeking an experienced Senior Data Scientist. Motivate and mentor other data scientists to grow their skills...
Yelp,Software Engineer - Local Search (Machine Learning)," Minimum BA/BS degree in Computer Science, Math, or related field. Explore data to maximize and measure the impact of your changes...."
Cruise Automation,Senior Backend Engineer - Data, Build highly scalable data pipelines to handle ingestion and processing of vehicle data. Experience building scalable data pipelines....
"Pandora Media, Inc.",Sr. Data Engineer, Experience developing service oriented architectures/orchestration including the support of data science....
Payette Group,Data Scientist - Machine Learning," Bachelors in Computer Science, Data Science, Machine Learning or related field is required. Professional experience in developing a data pipeline with custom..."
Genentech,"PHC, SR. Data Scientist"," Demonstrated track record of developing and execution of data science research projects, patient-level data analyses (e.g., real world data, surveys, clinical..."
Claritas Rx,Senior Data Engineer," Build data expertise and own data quality for various data flows. As a Senior Data Engineer, you will design and develop robust, scalable data pipelines,..."
Harnham,Big Data Engineer Consultant, Big Data Platforms. Maintaining data quality standards. In Computer Science or Engineering. You will be working on complex big data projects that involve large...
"lvl5, Inc.",Perception Engineer - (Computer Vision / Machine Learning)," Work with structure from motion to extract depth data from sequential images. We receive video and other telemetry measurements from our fleet, and run advanced..."
Genomic Health,Lead Data Scientist, Competence in theory and application of standard machine learning or data mining algorithms. Proven expertise in applying descriptive and inferential statistics...
Tubi TV,Machine Learning Engineer," Some of the challenges you will take on will include streamlining feature engineering, helping data scientists take machine learning models in production and..."
DNV GL,Principal Data Scientist Consultant," 3 years minimum hands on experience in analyzing scientific data, data analytics, machine learning, statistics or experiment design required...."
Proteus Digital Health,Sr. Data Scientist," The data science team works to define, design, develop and test algorithms in the health/wellness space. Strong experience developing data-driven platform..."
Box,Staff/Sr. Data Engineer, The data architecture will help surface faster data insights from product and GTM data via self-serve ETL capabilities to enable business....
BigCommerce,Senior Data Engineer, Our perfect candidate will have a background in Computer Science or a related technical field and possess extensive experience in building distributed scalable...
Trianz,Sr. Data Engineer," Experience with integration of data from multiple data sources. Big Data Engineer. We are looking for a Big Data Engineer that will work on the collecting,..."
Walmart,Director of Machine Learning Science, Professional experience in developing a data pipeline with custom ETL that accommodates data from multiple sources of data in multiple formats....
System1 Biosciences,"Machine Learning Scientist, Computer Vision", Interface with biology team to understand and interpret the data. Design and implement data processing and analysis solutions for biological microscopy datasets...
Atlassian,"Senior Product Analyst, Bitbucket"," At least 5 years of experience in Analytics or Data Science. Part of your job is to improve the data literacy of your product team, teaching people when, where,..."
Coherent Germany,Senior Data Scientist, Analyze process and metrology data. Demonstrated ability to concept and implement novel data processing algorithms....
Concur,Senior Data Engineer, Collaborate with Concur’s Data Sciences team to integrate and/or utilize data and tools. Create services to power TripIt and ExpenseIt product features based on...
Harnham,Predictive Modeling Analyst - Fintech, An exciting data science opportunity with an established fintech company in South Bay. Experience with large data sets....
Harnham,Senior Data Engineer, Senior Data Engineer. You will be responsible for building out data pipelines behind API's to help ingest and serve terabytes of data....
FuelX,Senior Data Engineer, Build data visualization and report system above data warehouse. Maintain data warehouse. Experience building Data Pipelines. Build automation on data flow....
Intrexon Corporation.,(Senior) Data Scientist, Detect and propose solutions to deviations from expected data quality and encourage adoption of best practices to mitigate delays and data loss....
Genentech,Sr. Data Management - Tiering Engineer," As a core member of the Roche Scientific Infrastructure (RSI) team, the Data Management Engineer will be responsible for developing and maintaining all aspects..."
Glu Mobile,Senior Data Engineer," Building and owning tightly-engineered back-ends for various data applications. 5-7 years software engineering experience, especially working on back-end data..."
Moody's Analytics,Senior Data Engineer," The Asst Dir-Sr Data Engineer will be designing data models, building data pipelines, managing and developing APIs, and automating existing work flows, and may..."
StreetLight,Senior Data Engineer, For solving data science problems. Productize analytics handoffs from the Data Science and Data Engineering team....
Diverse Lynx,Applied Machine Learning Resource, Applied Machine Learning team has built systems for a number of large-scale data science applications. O Extensive hands-on experience building solutions for...
Castlight Health,Senior Data Engineer," Experience handling complex data sources and large scale batch data infrastructure. Enjoy working in a collaborative engineering team, analyzing data, writing..."
"Coherent, Inc.",Senior Data Scientist, Analyze process and metrology data. Demonstrated ability to concept and implement novel data processing algorithms....
Google,"Developer Programs Engineer, Machine Learning"," MS/PhD degree in Computer Science or related technical field. BA/BS degree in Computer Science or related technical field, or equivalent practical experience...."
Jobspring Partners,Senior Data Engineer, Real-time data ingestion. 40% Hands-on data infrastructure development. 100% Java and Scala data development. 5 years of data driven software development....
Amazon.com,"GM/Director Software Development, Amazon Machine Learning", Experience as a machine learning scientist or applied data scientist. These products include everything from custom algorithms to enterprise data scale...
Payette Group,Data Science Lead," MSc (PhD preferred) in hard sciences or computer science, natural language processing, machine learning. Fluent in Python programming including common data..."
All-In Analytics,"Senior Data Scientist, A/B Testing"," Build and maintain production data within a data warehouse. Join a growing data science team and make a big impact. Senior Data Scientist, A/B Testing...."
Audi Canada,Senior Big Data Engineer," BSc Computer Science. Senior Big Data Engineer - ERL000268. Design and implement key components for highly scalable, distributed data collection and analysis..."
Nielsen,"Software Engineer, Data Platform"," Understanding of data flows, data architecture, ETL and processing of structured and unstructured data. Front End Engineer - Big Data...."
Amazon.com,Principal Product Manager - Machine Learning," Bachelor’s degree in Computer Science, Information Systems, Mathematics, Engineering or related field. Experience using data and metrics to back up assumptions..."
CircleUp,Machine Learning Engineering Manager, 3+ years experience leading an Engineering or Data Science team. Design and build capabilities that increase the momentum of the Data Science team....
Lawrence Berkeley National Laboratory,Computer Systems/Data Engineer," We are looking for someone with strong system administration, web development, backend, and data science skills interested in working on exciting science..."
Wells Fargo,Marketing Data Analyst/ Data Scientist (Analytic Consultant 3)," Collaborate with senior team members to provide strong BI solution design requiring marketing database analysis, data stewardship, data loading strategy and..."
Genentech,Principal PHC Data Scientist - Omics," Demonstrated track record of developing and execution of data science research projects, patient-level data analyses (e.g., real world data, surveys, clinical..."
"Akraya, Inc.",Data Platform Engineer : 18-03215," Strong expereince in building large scale Data Warehouse. Akraya is looking for a Data Platform Engineer for one of our client in Redwood City, CA If the job..."
Franklin Templeton Investments,"Research Analyst, Mortgage-Backed Securities (MBS)"," Improve data gathering and data analytics capabilities. Experience with big data, time series and statistical analysis...."
Scion Staffing,Senior Data Engineer," Developing significant data or analytics features/services. Working on large-scale distributed systems in a high production, big data environment...."
OpenTable,"Senior Data Scientist, Recommendation Technology"," 1 year of professional experience in implementing and deploying data ingestion, data transformation, data mining, and data cleansing systems;..."
Qualys,Senior Data Scientist," Experience with data cleansing, data quality assessment, and using analytics for data assessment. Develop custom data models and algorithms to apply to data..."
CBS Interactive,Senior Video Data Engineer (VDE)," This may include Google BigQuery, Data Lab, Data Studio, AWS Kinesis &amp; RedShift. Experience with transformation of log data and other data formats into metrics..."
Macy's,Lead Machine Learning Engineer (macys.com)," The ideal candidate will have a nice blend of applied math, data science and engineering skills, proven track record of solving critical business problems..."
Parallel HR,Data Scientist," MS/ PhD in fields like computer science, mathematics, statistics, machine learning, operations research, data mining, AI...."
Atlassian,"Senior Product Analyst, Confluence"," At least 5 years of experience in Analytics or Data Science. Part of your job is to improve the data literacy of your product team, teaching people when, where,..."
Sun Basket,Senior Marketing Analyst," Bachelor's degree in a highly quantitative field including data science, math, engineering, statistics, economics, and hard sciences...."
Atlassian,"Senior Business Systems Analyst, Personalization and Machine Learning"," You are bridge between data engineering and business. You'll be the point person who is the subject matter expert on all our data sources, data dictionaries,..."
BuildZoom,"Lead Software Engineer, Data Platform", Our bleeding edge data ingestion framework has helped us accumulate one of the most complete and timely data sets in the industry....
Delta Dental,Senior Market Research Analyst, Analyze research data and showcase key insights in an impactful and easy-to-understand way through data visualization and compelling narratives....
Genentech,Technical Development Scientist/Associate Scientist - Data Management and Analytics," Demonstrated experience automating data analysis workflows. Highly motivated and self-driven, with an excitement and passion for data analysis...."
