company,job,summary
Clarivate Analytics,"Manager, Data Science", Explores existing data for insights and recommends additional sources of data for improvements. Manage/Build a team of Data Scientists....
Credit Karma,Data Scientist - Growth," You have at least 3+ years of experience in a similar data scientist role and a degree in science, computer science, statistics, economics, mathematics, or..."
Twitter,Machine Learning, Experience using big data platforms such as Spark or Hadoop. What You’ll Do:....
Google,"Data Scientist, Engineering"," Work with large, complex data sets. (e.g., as a statistician / data scientist / computational biologist / bioinformatician)...."
Hinge Health,Data Engineer, Opinionated on how to organise and maintain functions / modules / scripts across a data science team. You’ll work at the intersection of product and engineering...
Apple,"Siri - Software Engineer, Data Platform Team", Understand the flow of data through the search system to help diagnose data issues. Streaming infrastructure and streaming data processing....
Molekule,Marketing Data Scientist," 3-5 years experience in data science, programming, or other relevant role supporting a marketing function, B2C preferred...."
Teespring,Data Scientist," Second, predictive data science focuses on employing the data we have about our users’ behavior to build data-driven user-facing products...."
Academia.edu,DATA SCIENTIST, The Data Science team leverages Academia’s data to deliver insights for our customers and inform product direction and decision-making....
"Niantic, Inc.",Data Scientist, 1+ years work experience in data science or analytics role. We’re looking for enthusiastic people to help our company become more data focused....
Niantic Labs,Data Scientist, 1+ years work experience in data science or analytics role. We’re looking for enthusiastic people to help our company become more data focused....
Zeus Living,Data Engineer," 2+ years of experience in a data engineering or data analytics role. The data engineer is responsible for designing and developing robust, scalable solutions..."
Brightidea,Data Scientist," Data visualization (e.g. BS or MS in computer science, mathematics, physics or other hard science/engineering discipline...."
Rainforest QA,Sr. Data Science Generalist, Data Science Generalist. Knowledge of common data science concepts:. Enough SQL to efficiently get the data you need from a relational DB....
Under Armour,"MANAGER, ENGINEERING (DATA SCIENCE)", Our Data Scientist Managers are responsible for coaching and leading teams of talented data scientists as we deliver on our roadmap....
LendingClub,Data Engineer, As a talented Data Engineer you will join our growing Data Technology team to help drive business decisions. 2+years of Development of high performance SQL/Hive...
Ipsos North America,Market Research Analyst - Analyst Development Program," Love data, consumer decision-making, and puzzles. Analysis, analyze, data analytics, market research, segmentation, brand health, branding, consumer insights,..."
Clarivate Analytics,Data Scientist," Explores existing data for insights and recommends additional sources of data for improvements. Bachelor's degree in Computer Science, Statistics, Technology,..."
Twitter,Financial Analyst," Develop strong collaborative relationships with key stakeholders in Sales, Finance and across the company, with a specific focus on our Data Science and..."
Opendoor,Data Scientist (Analytics)," As a Data Scientist you will:. Use data to inform, influence, support, and execute our product decisions. Craft statistical models to gain insights from data..."
Twitch,Director of Data Science," Professional experience as a data science leader, setting the vision for how to most effectively use data in your organization...."
Opendoor,"Finance & Strategy, Analyst"," As an analyst in Finance &amp; Strategy, you will have a unique opportunity to sit between operations, data science, and finance;..."
Coinbase,Software Engineer (Intern) - Data Engineering (Machine Learning)," Our vision is to bring more innovation, efficiency, and equality of opportunity to the world by creating an open financial system. Our first step on that..."
Salesforce,VP Strategy & Growth - Product Data Science," Department Overview - Product Data Science. VP Strategy &amp; Growth - Product Data Science. The Product Data Science (PDS) team is made up of data scientists,..."
Uber,"Data Science Manager, Uber Everything (SF)"," Are you interested in working at the intersection of applied quantitative research, engineering development, and data science?..."
Techshed,Data Engineer I (Contract)," Data management, ETL processes, data mapping, data validation, testing, and documenting data definitions. (10%) Data Integration:...."
Keep Truckin,Data Science Manager," We’re looking for a Data Science Manager to establish and grow our in-house data science team. 4+ years experience in Data Science, Machine Learning and Data..."
Facebook,"Data Science Manager, Analytics - Instagram Live"," Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with..."
Carbon3D,Physical Data Scientist, Cross-functional position that combines statistics with a strong intuition of physical processes using small to large data sets....
Salesforce,Data Science Eng / Analytics Lead," Data Science @ Salesforce. Completed a Bachelor’s and/or Master’s degree related to Computer Science, Statistics or related major studying AI (artificial..."
WestCoast Children's Clinic,Health Data Research Analyst," Extract and clean data, conduct data exploration, and present visualizations of the data using multiple platforms...."
Cisco Meraki,"Director, Data Science & Analytics"," 5-8 years of experience in business analytics, consulting, data science, business intelligence, data quality, and/or data engineering...."
Nielsen,Data Analyst," 3-5 years in data analytics, data science or similar role. A passion for getting into the weeds and working with media data...."
"Williams-Sonoma, Inc.","Data Scientist, Digital"," Experience with common data science toolkits, such as R, Weka, MatLab, etc. Data mining using state-of-the-art methods...."
Branch,Data Science Manager," Collaborate with Data Scientists, backend Engineers, Data &amp; Infrastructure Operations, and Products Managers to deliver new Data Science capabilities...."
Chime,Data Scientist ML, Work very closely with the Data Engineering team to ensure that we have the data needed by your models instantly available at scale in real time....
LimeBike,Policy Research Analyst," Master’s degree in city or transportation planning, transportation engineering, data science, or equivalent experience...."
Narvar,Data Scientist, Data Science and Data Engineering skills. Our Data Team works with massive data sets. Work with large unstructured data....
OpenAI,Machine Learning Researcher SAN FRANCISCOMEMBER OF TECHNICAL STAFFFULL-TIME," As a researcher at OpenAI, you'll be tasked with developing machine learning techniques and applying them at scale to our projects. Requirements: * Track..."
BOLD,Data Scientist," Bachelors or Masters in a relevant technical field, such as Computer Science, Statistics, Data Science, Data Engineering, Machine Learning...."
6sense,Software Engineer - Data Science Automation, The Data Science team will invent new modeling techniques using industry standard tools. Our data scientists are extracting signals from billions of data points...
Change.org,"Data Engineer, Email Operations"," Data pipeline/ETL experience. Experience with NoSQL data stores e.g. Redis, Cassandra. As a Data Engineer in our San Francisco office, you'll be part of a close..."
