company,job,summary
Citadel Securities,Quantitative Researcher / Quantitative Research Analyst," Time-series analysis, machine learning, pattern recognition, NLP). We’re looking for an extraordinary quantitative researcher who is committed to our core..."
Jobspring Partners,Python/Machine Learning Developer, Machine Learning experience. Experience having worked with Machine Learning libraries within Spark. This well-known company in the financial services space is...
Commercial Solutions,Data Scientist I," Advanced knowledge of machine learning and statistical techniques such as hypothesis testing, regression, decision trees and ensemble techniques like random..."
The Jellyvision Lab,Data Scientist," Have the ability to write sophisticated machine learning and data analysis code in R, Python, etc. JELLYVISION NEEDS AN AMAZING DATA SCIENTIST...."
Argonne National Laboratory,Assistant Physicist, The program also engages in acquiring new funding sources for the development of sensors and detectors whose scientific importance extends beyond the field of...
Google,"Software Engineering Intern, BS, Winter 2019"," Web application development, Unix/Linux environments, mobile application development, distributed and parallel systems, machine learning, information retrieval,..."
The University of Chicago,Policy Analyst (Data Scientist)," Advanced knowledge of machine learning, statistics, or econometrics. Builds and rigorously evaluates statistical models using best practices of machine learning..."
Rush University Medical Center,Research Bioengineer/ Neuroimaging Research Scientist," A) advanced analysis of functional connectivity MRI signals, b) network-based functional and structural brain analysis, c) machine learning, d) MRI of brain..."
Argonne National Laboratory,Postdoctoral Appointee," We invite you to apply for a Postdoctoral Appointee position with our Energy Systems Division. In this role, you will develop advanced modeling of distributed..."
The University of Chicago,"Computational Scientist, GIS", Experience with machine learning and statistical analysis applied to GIS data preferred. The Research Computing Center (RCC) is seeking a highly motivated...
The University of Chicago,Data Scientist, Proficiency with statistical data analysis and machine learning using Python or R is required. Builds and rigorously evaluates statistical models using best...
Civis Analytics,Intern Software Engineer - 2019, About the Company Are you interested in full stack development? Do you want to spend your summer having a direct impact on our data science platform? Civis...
Goldman Sachs,"Savings - Deposit Marketing - Product Management Analyst - Chicago, IL"," Through the use of machine learning and intuitive design, we provide customers with powerful tools that are grounded in value, transparency and simplicity to..."
The University of Chicago,Computational Scientist, Experience with machine learning and statistical analysis applied to GIS data preferred. The Mansueto Institute for Urban Innovation and the Research Computing...
"Blue Cross Blue Shield of IL, MT, NM, OK & TX",Data Scientist," Machine learning and/or statistical modeling; Strong learning and growth mindset. They will use data analysis, machine learning, predictive modeling, statistics..."
Dyson,Talent Development Manager," Global R&amp;D continues apace, with Dyson developing ambitious new technologies including power systems, motors, vision systems, filtration systems, robotics,..."
FourKites,"Product Manager, Customer Experience", This person will help identify opportunities to use innovative technologies in the areas of machine learning and AI to scale our business....
JP Morgan Chase,Project Manager," In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and..."
Zurich North America,Data Scientist, Modeling using generalized linear models or machine learning; Data Scientist - 180005R4....
Akuna Capital,"Quantitative Development Internship, Summer 2019"," Linear Algebra, Numerical Methods, Statistics, Optimization, Signal Processing, Computer Architecture, Machine Learning...."
Astellas Pharmaceuticals,Client Services Librarian," Familiarity or experience using data mining, visualization or machine learning tools. Assessing and recommending latest technology to resolve complete..."
Google,"Software Engineer, University Graduate"," Web application development, Unix/Linux environments, mobile application development, distributed and parallel systems, machine learning, information retrieval,..."
JLL,HR BI Analyst - People Analytics," Have a background in statistics, data science, economics, or I/O Pysch, along with academic and practical experience with statistical modeling and concepts such..."
Productive Edge,UX Content Strategist," Our technology specializations include modern enterprise mobility, digital experience platforms, artificial intelligence and machine learning, cloud-native..."
Akuna Capital,"Quantitative Research Internship, Summer 2019", Expertise in statistics and machine learning. Develop trading strategies using statistical and machine learning algorithms....
"LotLinx, Inc.",Client Implementation Manager," LotLinx uses advanced machine learning technology to identify and score in-market car shoppers based on online activity, search behavior, and other predictive..."
Groupon,Pricing & Promotions Data Scientist," Predictive modeling, recommender system, data mining, machine learning, statistical analysis, and A/B testing; Utilize advanced data mining and machine learning..."
CTG,AI SMARTPHONE RESEARCH INTERN - 18209475," CTG is looking for interns for one of the world’s fastest growing smartphone providers, creating groundbreaking, affordable, high-quality products designed..."
Allstate,Researcher," Advanced knowledge of modeling, machine learning, deep learning, designing algorithms, and cloud computing to support high volume and low latency-sensitive data..."
Rush University Medical Center,Sr. Data Analyst, Job Title: Sr. Data Analyst Department: Rush University Cancer Center Shift: 1st Specialty: Job Number: 2018-2328 Date Posted: 08/30/2018 Position Type: Job...
Groupon,"Data Scientist, Customer Insights"," Predictive modeling, recommender system, data mining, machine learning, statistical analysis, and A/B testing;..."
Jobspring Partners,Long-term Microservices Contractor (Java/Machine-learning)," Machine Learning interest or exposure is a plus. They like people comfortable with a lot of different tech exposure but expect to see Python, Java, Scala, AWS,..."
Maven Wave Partners,Data Scientist," Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.)...."
DRW Trading Group,Quantitative Trading Analyst Intern, Market research projects vary from macroeconomic data curation and analysis to application of machine learning techniques to market tick data for automated...
Capax Global LLC,Data Scientist, Experience developing and testing machine learning and/or statistical projects. Minimum 2 years experience working in a data science or machine learning...
Wipro Limited,Director," Build frameworks to support model building with minimal or spare data, transfer learning, automating machine learning using deep learning toolkits...."
Humana,Senior Informaticist," Working knowledge in machine learning/deeper learning and predictive analytics. Humana is seeking a Senior Informaticist who will capitalize on data insights,..."
The University of Chicago,Embedded Data Scientist, Proficiency with statistical data analysis and machine learning using Python or R is required. Builds and rigorously evaluates statistical models using best...
HUB International,Analytics and Machine Learning Director," + Building out an enterprise wide Analytics &amp; Machine Learning strategy leverage existing tools i.e., Microsoft BI tools, SQL skills, R, Machine Learning,..."
Clarity Insights,Associate Consultant - Chicago," I have a million things to share about why that may change and why that must stay the same for now, but here’s a suggestion – if you LOVE Cloud Computing for..."
Jobspring Partners,Computer Vision Engineer (Deep Learning/Satellite Imaging), Strong Machine Learning experience doesn’t hurt. If you’re a machine learning professional or you’re coming out of one of the few local companies utilizing Deep...
