company,job,summary
Yancey Bros Co.,Market Research Analyst, Utilize market assessment data to identify growth opportunities for our business through data analysis and interpretation....
MHP – A Porsche Company,(Senior) Consultant for Data Science," Experience with Big Data, Business Intelligence, Data Warehousing, Data Architecture or Data Integration related technologies...."
Capgemini,Engagement Director - Data Science," • Executive presence, ability to drive senior executive thinking • Extensive consumer products / retail background • Superb data-science (hands-on), rapid..."
Gallup,Data Engineer," You will also be responsible for helping consultants and data scientists produce high-quality, easily understood data products for clients...."
Emory University,Sponsored Research Financial Analyst," Description Responsible for post award processing of grants and contracts in Finance of Grants &amp; Accounting (FGC). Provides account management, reconciliation..."
"Carters, Inc",Pricing Analyst - Strategic Pricing Analyst, Expertise in data science libraries and familiarity with machine learning preferred. Large volumes of data. Act in an academic capacity to enshrine within the...
SunTrust,Data Science Platform Solution Manager, Experience with Data Science Solutions for Model and Process Development. Experience with Big Data (Hadoop) platforms and data integration tools....
AirSage,Data Scientist, Developing data driven models to quantify the value of a given data set. We are seeking an experienced Data Scientist to help enhance the company's unique...
Smith Hanley Associates,"Associate Director, Data Science/ Commercial Data Management"," My client a GLOBAL Pharma Company, is seeking an ""Associate Director, Data Science/ Commercial Data Management-PHARMA"" Professional!..."
The Home Depot,"Data Scientist, Online"," Manager, Data Science. This position reports to Director of Data Science, or Sr. Strong communication and data presentation skills...."
Equifax,Data Scientist," Manipulate large data sets, integrate diverse data sources, data types and data structures into solutions. Function - Data and Analytics...."
Solvay,Color Product Development Scientist," In Chemistry, color, or polymer science or related field. Clearly understands and applies knowledge of color science and the interactions of colorants/pigments..."
Kimberly-Clark,IT Data Management Engineer," Design, implement and support the detailed master data components of all analytical (enterprise data warehouse/enterprise BI) as well as enterprise operational..."
Honeywell,Big Data Engineer," 25 Streaming Data, Data Pipeline, Data Modeling. 25 Design and development on data platform. Streaming data platforms – Kafka, Spark, Flink, Storm, Beam...."
SunTrust,Data Protection Engineer," Analyzes corporate data protection projects and/or programs which include, but are not limited to, solution and service enhancements, new data protection..."
Craneware,Reimbursement Analyst," Basic knowledge with analytics, data science, and business intelligence tools. Strong analytical skills the ability to draw conclusions based on data...."
Misys Software Solutions India,"Data Scientist and Computer Engineer, Machine Learning & Artificial Intelligence, Finastra Innovations Lab"," Master’s or PhD in related field such as Computer Science, Machine Learning, Statistics, Math, Engineering, etc. WHY DO WE LOVE COMING TO WORK EVERY DAY?..."
Jobspring Partners,Data Analyst Engineer, Enjoys working with a data science team. A data analytics company we partner with is looking for a Mid-level Data Analyst Engineer to work closely with their...
The Home Depot,DATA SCIENTIST - SPACE OPTIMIZATION," Degree in Data Science, Analytics, Statistics, Math or related quantitative field. Extensive work experience in Application Development, Optimization, Data..."
Turner,"Senior Analyst, Insights and Strategy", Training or experience in data science a plus. Gathers and tracks data from various research tools and maintains data accuracy....
Emory University,Research Informatics Analyst," Working knowledge of data collection, management and reporting tools like RedCap (Research Electronic Data Capture), Tableau, etc...."
Honeywell,Senior Data Scientist.," Ensure the execution of data science driven projects. Provide data modeling, mining, pattern analysis, data visualization, machine learning and deep learning..."
ATN International,LAN/WAN Data Engineer, Previous experience as Data Network Engineer. Working exposure to wireless data network deployment....
KPMG,Data Visualization Software Engineer," Ability to perform data tasks, working with a variety of SQL, NoSQL, and HDFS data stores and preparing data for visualization...."
Department of Commerce,"Supervisory Survey Statistician (Regional Survey Manager), GG-1530-07/09/11/12, CENSUS-DE-JMW", Manage data collection to ensure training and observation programs are utilized to foster quality data collection techniques....
LOCKHEED MARTIN CORPORATION,Data Analytics Engineer," SAP Data Services, Informatica). Extraction, Transformation, and Loading of Data. Investigating Data Needed to Develop Solutions to Meet Requirements...."
Philips,Data Engineer," Ensuring data remains consistent, clearly defined, user accessible with minimum required privileges, and provisions for data security, recovery, and controls..."
Finastra,"Data Scientist and Computer Engineer, Machine Learning & Artificial Intelligence, Finastra Innovations Lab"," Master’s or PhD in related field such as Computer Science, Machine Learning, Statistics, Math, Engineering, etc. WHY DO WE LOVE COMING TO WORK EVERY DAY?..."
Honeywell,Principal Data Scientist, Promote data science methods and processes across functions. 25 Promote data science methods and processes across functions....
Agile,Data Quality Engineer, Understanding of Data Governance principles and how Data Governance relates to Data Quality Management. Data Quality Engineer. Solid data modeling skills....
The Home Depot,Quality Engineer - Private Brands Data Analytics," Strong data analysis skill, SQL, Microsoft Excel Pivot table to retrieve, manipulate, analyze, and interpret data...."
Capgemini,Data Scientist - CONSULTANT Level - ORLANDO FLORIDA - We will help Relocate," (Includes Data Modeler, Data Miner.). The Data Science &amp; Analytics practice group at Capgemini is expanding its footprint…rapidly...."
The Coca-Cola Company,Data Analytics Engineer," Background in data modeling and/or data mining. He/she will help us build leading edge analytics solutions and platforms to solve big data, data science, and..."
Fleetcor,Director / Senior Data Scientist," (MS in Data Science/Business Analytics preferred). Thorough understanding of data wrangling, intuition and visualization...."
Cox Communications,Principal Data Analyst," 10 or more years of experience in Data Science, Architecture and Software Development Life Cycle. Candidates will be exposed to the latest technologies for both..."
General Electric,Sr Data Engineer," Utilize business intelligence tools to expose data to leadership and internal customers. Bachelor’s Degree in Computer Science or in “STEM” Majors (Science,..."
Accenture,Big Data Engineer, Big Data professionals*. Experience administering Hadoop or other Data Science and Analytics platforms using the technologies above....
The Coca-Cola Company,"Big Data Engineer (PySpark, Python, Spark)"," Background in data modeling and/or data mining. He/she will help us build leading edge analytics solutions and platforms to solve big data, data science, and..."
Bank of America Merchant Services,"VP, Data Scientist- New York, Austin, TX,Atlanta, GA; Charlotte, NC"," Advanced data intuition. Excellent data visualization capabilities. Data Query software tools (SQL/SAS, Tableau)...."
KPMG,"Associate, Big Data Software Engineer"," Implement and test data processing pipelines, and data mining / data science algorithms on a variety of hosted settings, such as AWS, Azure, client technology..."
Equifax,Big Data Engineer," Big Data Engineer. Big Data Infrastructure Engineer. § Moving data across Big Data platforms like Hadoop, Kafka, Spark, Cassandra, MongoDB, Greenplum,..."
"Elavon, Inc.",Senior Data Quality Engineer, Understanding of Data Governance principles and how Data Governance relates to Data Quality Management. Big data repositories....
DELL,"Full-stack Site Reliability Engineer for Data Pipeline - Secureworks - Atlanta, GA or Remote"," Specifically, these are Java-based data processing applications that touch over one billion security events a day...."
Northside Hospital,Vendor Research Analyst," Position Description Under general supervision, the Vendor Research Analyst will be responsible for performing research and analysis to identify and resolve..."
KPMG,"Sr Associate, Data Science, KPMG Tax Ignition"," MS or BS in Computer Science, Applied Statistics, Engineering, Science or other quantitative discipline with specialization and experience in Artificial..."
TSYS,"Machine Learning Engineer, Digital Innovation Team"," Strong computer science fundamentals including knowledge of data structures and algorithms, computational complexity, and object oriented/functional programming..."
SGA,Data Scientist," Support business departments by monetizing data and creating value. Software Guidance &amp; Assistance, Inc., (SGA), is searching for a Data Scientist for a full..."
Emory University,"Assistant Professor -RT - Streaming Clinical Informatics, Data Science"," A demonstrated ability to teach data science, biomedical informatics and computer science courses is important.-65751BR...."
CapTech Consulting,Big Data Engineer - Hadoop," Our Big Data Engineers are data pipeline builders and data wranglers, implementing modern data architectures to deliver data to data analysts and scientists at..."
ThoughtWorks,Lead Data Engineer, Understanding of how to architect solutions for data science and analytics such as productionizing machine learning models and collaborating with data...
Slalom Consulting,Advanced Analytics Consultant - Machine Learning, Driving innovative data science solutions to have a meaningful impact on diverse client business challenges. Finding deep insights in mountains of data....
KPMG,Big Data Software Engineer, Assist the development of big data analytics and cloud applications to facilitate the work of data scientists and solution developers....
Risk Solutions,Systems Engineer II - Storage/Data Management, EMC Data domain appliance experience. BS Engineering/Computer Science or equivalent experience req. Familiar with producing storage reports and data growth...
Catalina Marketing,Senior Data Scientist," This position will report directly to the VP of Advanced Analytics and Data Science. We use advanced machine learning, data science, operations research,..."
ANSER,Forensic Research Scientist/Analyst, Provide subject matter expertise to external partners and stakeholders regarding forensic science and biometrics....
CBRE,HVAC Engineer - Data Center," JOB SUMMARY Operates, inspects, and maintains mechanical and electrical equipment for commercial HVAC systems in assigned facilities to achieve most..."
KPMG,Big Data SW Engineer, Assist the development of big data analytics and cloud applications to facilitate the work of data scientists and solution developers....
MapR,Data Engineer - Solution Design - Atlanta," Data Engineer- Solution Design. MapR Data Engineers report to the Director of Data Engineering located at company headquarters in San Jose, CA...."
Applied Resource Group,Senior Data Scientist, Experience in statistical and data mining techniques. Experience with Data Visualization using tools like Tableau....
iVision,Senior Data Center Engineer, Senior Data Center Engineer. Perform customer support activities for data communications equipment and networking system products....
HatchWorks Technologies,Senior Data Engineer," These solutions encompass all aspects of development for data analytics solutions from front end data visualization and backend data management, including..."
McKinsey & Company,"Data Engineer, People Analytics & Measurement"," Solid understanding of data modeling, design patterns, and data ingestion best practices. Experience working with real-world (messy) data...."
Auto Plus Pep Boys,Sr Predictive Fleet Analyst, Three (3) plus years of experience in developing Data Science solutions. Three (3) plus years of experience in any of the following Data Science technologies:....
Verizon,Principal Data Scientist," In Statistics, Math, Economics, Engineering, Computer Science, Business Analytics, Data Science. 8+ years of experience in practicing machine learning and data..."
ThoughtWorks,Senior Data Engineer, Understanding of how to architect solutions for data science and analytics. Proven track record of Innovation and expertise in Data Engineering....
Newell Brands,"Sr. Manager , Data Science Forecasting"," Director, Data Science. Senior Manager, Data Science Forecasting. Manager, Data Science will play an integral role in helping the company achieve its ambition..."
Agile,Data Scientist," Data Scientist, PIG, R Stats, Oracle, Data. Acquiring data from multiple data sources in order to perform analysis...."
SKIM,Sr. Market Research Analyst," Job Description Manage and execute all phases of a market research study, including: study design, questionnaire development, survey programming (where..."
Equifax,Pre-Sales Analytics - Lead Data Scientist, Function - Data and Analytics. Pre-Sales Analytics - Lead Data Scientist. Exceptional data/ analytical skills and demonstrable attention to detail....
"IHRC, Inc.",Statistician," Analysis of laboratory data, development of transition plans for correlates of protection data to support regulatory submissions and assistance in the..."
Axius Technologies,DATA SCIENTIST," Interact with partners, customer business and analytics teams to capture the business requirement - Extract data from a variety of relational databases,..."
KPMG,"Manager, Data Science, KPMG Tax Ignition"," Or MS in Computer Science, Applied Statistics, Engineering, Science or other quantitative discipline with specialization and experience in Artificial..."
Cotiviti,Senior Data Scientist," Machine learning, applied scientist, data science, data analyst. Degree in relevant discipline (Math, Statistics, Computer Science, Engineering or Health..."
Norfolk Southern Corp,Senior Network Engineer - Data, 4-yr College Degree in Computer Science or Engineering preferred. The candidate’s primary responsibility will be implementing data network solutions in a...
Diverse Lynx,Data Scientist with Energy Industry Experience," Data Scientist with Energy Industry Experience Atlanta, GA Full time, Permanent 5+ years exp. in IT Experience in Power or Solar energy industry related..."
TSYS,"Director/Senior Manager, Data Science"," Leads multiple data science activities as part of TSYS’ data and analytics strategy. For complex product offerings, closely works with TSYS partners that..."
GEORGIA-PACIFIC,Intern Consumer Promotion & Media Analyst," Hypothesis formation and data identification. Or PHD in business analytics, marketing analytics, data science, mathematics, statistics, economics, econometrics..."
"Safe-Guard Products International, LLC",Business Analyst - EDW/BI," Company Profile: The Safe-Guard Difference Founded in 1992 and based in Atlanta, Safe-Guard Products International, LLC is the leading provider of Finance..."
SunTrust,"Managing Director, Data Scientist"," Leverage data to fulfill business opportunities – This includes identification of valuable data, acquisition, modeling, and storage of the data, as well as the..."
"Pandora Media, Inc.",Senior Storage Engineer (Clustered Data Ontap /Isilon OneFS), Clustered Data Ontap and Isilon OneFS; Fast propagation/replication of large data sets to geographically distant locations....
Capgemini,ATLANTA Campus Recruiting 2017 - BTS BAS - Business Analyst," Computer Science, Computer Information Systems, Management Information Systems, Data Science. With more than 180,000 people in over 40 countries, Capgemini is..."
Capgemini,ATLANTA Campus Recruiting 2017 - BTS DMFG - Business Analyst," Computer Science, Computer Information Systems, Management Information Systems, Data Science. With more than 180,000 people in over 40 countries, Capgemini is..."
Capgemini,ATLANTA Campus Recruiting 2017 - HTEC - Business Analyst," Computer Science, Computer Information Systems, Management Information Systems, Data Science. With more than 180,000 people in over 40 countries, Capgemini is..."
Delta Global Staffing,Operations Research Analyst I," Overview Delta Global Services, a wholly owned subsidiary of Delta Air Lines Inc, has a Operations Research Analyst I position open in Atlanta, GA through our..."
Capgemini,Manager - Data Scientist ! Orlando!," (Includes Data Modeler, Data Miner.). Demonstrated leadership by building Data Science teams and fostering growth...."
Capgemini,Data Science - Senior Manager - Atlanta, Generate and execute the Data Science roadmap strategy for sector. Track record delivering successful data science projects and managing global teams....
Delta Global Staffing,Engineering Data Scientist," Conditioning/cleansing raw unstructured data (e.g. 8+ years’ experience in data mining. Be relied upon to extract information from existing, imperfect data sets..."
Lorven Technologies,Data Engineer, Then the message / data would be sentto the Hadoop data lake. The tool will be usedby data engineers internal to Cotiviti....
CBRE,Senior Research Analyst, Assists in increasing broker trust in available CBRE Research data and facilitating/enhancing strong engagement to continuously increase the pool of available...
Levvel,Senior Data Engineer/Architect, Create and maintain transformations to summarize/aggregate data and load this so users can consume this data using various BI/Analytics tools....
"Anthem, Inc.",Data Science Solutions Lead(Data Engineer)-PS10274," Data Science Solution Lead (Data Engineer). The Data Science Solution Lead is responsible for the design and development of analytic models, applications and..."
Capgemini,"Data Scientist - Consultant Level - Orlando, Florida - we will assist with relocation"," (Includes Data Modeler, Data Miner.). The Data Science &amp; Analytics practice group at Capgemini is expanding its footprint…rapidly...."
Staples,Sr. Operations Research Analyst," Research, design, and implement data models and innovative algorithms to analyze diverse sources of data to realize actionable results...."
General Electric,Sr Staff Data Operations Engineer, Strong understanding of data integration platforms:. Conduct customer and stakeholder interviews and elaborate on data management personas....
KPMG,"Manager, Data Scientist"," Lighthouse — KPMG's Center of Excellence for Advanced Analytics — has both applied data science, AI, and big data architecture capabilities...."
Equifax,Engineer - Big Data Platform," Engineer - Big Data Platform. Work on large-scale, multi-tier big data engagements. Experience in working with un-structured or semi-structured data...."
