company,job,summary
Uber,"Data Analyst I/ Data Analyst II, Safety and Insurance"," Experience with Hive, Spark, and other big data tools a plus. 2+ years of data analytics experience on a global scale...."
Everlaw,Data Operations Associate," In this role, you will be responsible for data ingestion, quality control, and consulting with clients on complex data migrations...."
Zynga,"Data Analyst 3, Match3"," Strong hands-on experience with SQL, data warehousing, data modeling, dashboarding and reporting, involving very large datasets and multiple data sources, with..."
"Williams-Sonoma, Inc.",Design Coordinator - Mark and Graham, We've seen some big changes since our first brick-and-mortar store opened more than half of a century ago. About the Brand:....
Minted,Data Analyst," Experience working with large quantities of raw, disorganized data. Minted is looking for a brilliant and passionate Data Analyst...."
Amazon.com,Data Engineer II," Design and develop large-scale data structures for business intelligence analytics by using data mining tools such as SQL, Access, Tableau or related...."
StubHub,Data Operations Analyst," Data Operations Analyst. As an active member of a team you will collaborate with individuals at all levels across the organization, including Data Scientist and..."
JLL,Research Data Analyst, Maintain an acceptable level of data completeness to include data validation and audit levels. Our analyst will have primary responsibility for collecting and...
Plaid,Data Scientist," We're looking for data scientists with experience applying state-of-the-art machine learning and data science techniques toward any area, including natural..."
munchery.com,Data Analyst, Dig into data to guide your thinking. Continue to help us develop and maintain our data analytics infrastructure....
Ace Technologies,skill, Data Migration with AEM - Big Plus. Angular - Big Plus. HTML / CSS - Big Plus. IT - 8+ years....
Yelp,Data Scientist - Fall Intern," Fluency with SQL and Python or R for data analysis. An eye for great data visualization with Matplotlib, Plotly, ggplot, or Tableau...."
Avenica,Project Coordinator - Entry Level, Some data entry / processing that pertains to specific accounts. Ability to see the big picture and the importance of this role in the tea....
"Nugs.Net Enterprises, LLC",Data Analyst," Nugs.net, the leading multi-channel live music distribution company, is hiring a Data Analyst in our San Francisco headquarters.The Data Analyst will be..."
"Williams-Sonoma, Inc.","Merchandising Coordinator, Food and Cookbooks - Williams Sonoma"," You will input, proof, and analyze data for all areas of Perishable Foods and Cookbooks. We've seen some big changes since our first brick-and-mortar store..."
Kabam,User Acquisition Data Analyst," User Acquisition Data Analyst. Finding answers to business questions via hands-on exploration of data sets using SQL, dashboards, statistical analysis, and data..."
Zymergen,Junior Data Engineer," Scope data engineering solutions. As a member of our data engineering team you will work with product management, engineering management, the data science,..."
Software Placement Group,Bay Major Accounts | #1235, This is a hot Big Data company that is growing by 40%! 5-10 years of quota-carrying software or technology sales and account management experience....
Doximity,Data Analyst," Collaborate with a team of product managers, analysts, data scientists, and other developers to define and complete data projects...."
NinthDecimal,Data Analyst, Ensure data quality of all inbound and processed data. Expert in data manipulation in multi-billion records data size....
JB Hunt,Warehouse Associate," Data entry responsibilities for management of inventory. Our four business segments (Intermodal, Dedicated Contract Services, Truckload, and Integrated Capacity..."
Uber,Data Analyst, Excellent data visualization skills. A love of data - you just go get the data you need and turn it into an insightful story....
LendingClub,"Director, Big Data Solutions"," Drive data quality framework solutions for data ecosystem. Stay current with big data industry, advancements and open source initiatives...."
Pearson,"Data Analyst, Global Product Analytics"," This individual will dig into raw and processed data (backend DBs, Google Analytics, and event/message data), transform information into visualizations using..."
"Williams-Sonoma, Inc.",Order Management Specialist, We've seen some big changes since our first brick-and-mortar store opened more than half of a century ago. About the Role....
"Ellation, Inc.",Data Analyst - Growth Team, 3+ years in a Data Analyst role with 2+ years of Data Mining experience. Utilize statistical methods and tools to analyze data....
Ethos Lending,Data Analyst, Write specs and work with engineering to capture new data and transfer data into data warehouse. The Data Science team is looking to add a Data Analyst who will...
eBay Inc.,Data Operations Analyst," As an active member of a team you will collaborate with individuals at all levels across the organization, including Data Scientist and Data Analyst, making..."
Amazon.com,Senior Analyst - Data & Strategy (Goodreads), Experience with Big Data solutions as well as other AWS solutions. Partner with Engineering/Data Engineering to improve the quality of existing data and bring...
"Williams-Sonoma, Inc.","Associate Buyer, Glassware - Williams Sonoma", Passion for data. We've seen some big changes since our first brick-and-mortar store opened more than half of a century ago. About the Role:....
California College of the Arts,Data Analyst (HR)," Data Management – 40%. This position will support data projects through data management, analytics, conversion, and state/academic/and regulatory reporting...."
University of San Francisco,"Institutional Data Analyst, Office of Institutional Analytics"," Understanding of data management and data warehousing concepts preferred. Institutional Data Analyst, Office of Institutional Analytics...."
Seasoned,Data Analyst," Willingness to get your hands dirty conducting data analysis, building dashboards, and supporting internal and external data requests...."
Kaiser Permanente,Senior Data Analyst," The Data Analytic Consultant provides support in making strategic data-related decisions by analyzing, manipulating, tracking, internally managing and reporting..."
University of California San Francisco Medical Cen...,Improvement Data Analyst," Three to five years experience in business intelligence reporting, data mining, data analysis, and/or statistical analysis...."
App Academy,Office Manager, Decisions should be backed by data. See the big picture and question the status quo. App Academy is building world-class training programs that help students...
Moody's Analytics,Associate - Data Intelligence Analyst," The Data Intelligence Analyst may perform a variety of different data management job functions, including data acquisition, data processing, data operations,..."
Method Products,Supply Chain Associate," Data entry owner of:. Ensure data integrity and data transfer across multiple systems including SAP, Arena, Syspro, Synapse Sterling TMS and John Galt with..."
Shippo,Data Engineer," And design a data model that ties the application telemetry data to metadata, and transactional data. Integrate data from various data sources, internal and..."
Ace Technologies,ETL Specialist," In the ETL if the candidate has worked in Ab initio, it’s a big plus. Top 3 skills:...."
"Zendrive, Inc.",Business Data Analyst," The Zendrive mission is to make all roads safe using data and analytics, and we are focused on building products to support the evolution of transportation...."
