company,job,number_of_evaluations
BEABLOO,Business Intelligence Developer,-
Colt Technology Services,Head of HR Spain - COO HR BP,163 valoraciones
Oficina de Treball del SOC,16560- FÍSICS,-
Glovo,Global On-Demand Specialist,33 valoraciones
Molina Visuals,STRATEGIST (EUROPE),-
Regus,Lead – DevOps and Deployment,607 valoraciones
Harnham,SENIOR BIG DATA ARCHITECT,-
International Paper,Accountant,1.843 valoraciones
Criteo,Account Strategist Mid-Market DACH Intern (Geman speaker - August/Sept 2018),-
IGO,SEM / PPC Specialist,-
STD Multiopción,Tourism manager and advisor with English and German,2 valoraciones
Glovo,Regional Partner Ops Manager,33 valoraciones
Vistaprint,Marketing Technology Manager,88 valoraciones
Vistaprint,Marketing Technology Manager,88 valoraciones
Blueliv,Security Manager / CISO,-
Criteo,Sr. Sales Operations Analyst Mid-Market EMEA,-
TRavelPerk,Growth Marketing Intern en Barcelona,-
Interactius,UX/Data Visualization Designer,-
Aspire,Backend Analytics Engineer,-
Regus,Lead: Digital Centres,607 valoraciones
"T-Systems ITC Iberia, S.A.",Commercial Manager (f/m),2 valoraciones
Skyscanner,Senior Mobile Engineers,-
"T-Systems ITC Iberia, S.A.",IT Helpdesk Multilingüal,2 valoraciones
Universal Robots,Lead Management Specialist,-
Oracle,Regional Manager - Product Management – Southern Europe (Iberia/France/Italy),3.952 valoraciones
Schibsted Media Group,Front End Software Engineer,-
Page Personnel España,Data Support / 6 months contract (h/m),111 valoraciones
Atos,ES - BDS -CYS- BECA CONSULTORIA E INTEGRACIÓN SOLUCIONES CYS MADRID BCN,1.626 valoraciones
HP,Internship Product Manager,10.259 valoraciones
atSistemas,Analista Programador Business Intelligence,-
Social You,Affiliate Marketing,-
Amazon.com,Solutions Architect - Amazon Web Services,24.696 valoraciones
Telemedicine Clinic,Senior IT Support Engineer,-
dxc technology,Analytics Business Developer,1.377 valoraciones
InnerWorkings,"Production Coordinator, Print & POS",50 valoraciones
Between Technology,Programador/a ABAP,6 valoraciones
Talent Search People,Data Analyst,4 valoraciones
Skyscanner,Senior Distributed Systems Engineers,-
Antal International,Analista de riesgo crediticio E-Commerce,-
Page Personnel España,Finance Project Coordinator,111 valoraciones
Regus,Senior Project Manager: Finance Systems,607 valoraciones
TransPerfect,Machine Translation Developer,143 valoraciones
Page Personnel España,IT Inside Sales for English Markets,111 valoraciones
Regus,Program Manager: Sales Systems,607 valoraciones
QuintilesIMS,Consultant Enriched Studies,1.015 valoraciones
Domino's,International Franchise Consultant,14.984 valoraciones
Talent Search People,Product Owner,4 valoraciones
Spring Professional,Digital Manager,2 valoraciones
Criteo,Account Strategist Mid-Market France Intern,-
New Relic,Senior Front-End Technical Lead,-
Between Technology,Programador/a Java,6 valoraciones
atSistemas,Programador Cobol,-
Grupo CHOICE,Consultor Técnico Dynamics NAV,-
ZeptoLab,Product Marketing Manager,-
Accenture,Programador/ Analista SAS ( Barcelona),13.886 valoraciones
Aspire,Lead Data Scientist,-
Glovo,Groceries and New Business Associate,33 valoraciones
Regus,Lead – Planning and Coordination Manager,607 valoraciones
Merkle S.L.,Front End Developer,-
ÁlamoConsulting,Consultores TIC-Madrid y Barcelona,-
Facturedo,Backend developer,-
Grupo CHOICE,Programador Oracle Developer Forms/Reports,-
Smadex,Account Manager,-
Smadex,Performance Account Manager,-
Criteo,Intern Account Strategist Mid-Market UK (Native English Level),-
Ocado Technology,"Java Software Engineer, Range Management Systems Team - Ocean",-
Ocado,"Java Software Engineer, Range Management Systems Team - Barcelona",-
Grupo CHOICE,Programador C# y .NET,-
Criteo,Internship – People Experience (HR),-
TE Connectivity,Intern Digital Factory,1.005 valoraciones
King.com,Backend Developer for Internal Applications,-
3mundi,Rails developer,-
Between Technology,Responsable Soporte IT,6 valoraciones
Hewlett Packard Enterprise,Belgian Graduate Inside Sales Representative,3.400 valoraciones
Devex,Marketing Systems Associate,-
New Relic,"Senior Software Engineer, New Relic Infrastructure - Full Stack Focus",-
Michael Page,Senior Software Architect & Cloud Lead - MCSFT Stack,156 valoraciones
atSistemas,Analista / Programador Cobol,-
Boats Group,Senior Software Developer - Mobile Technologies,-
Page Personnel España,QA Lead Automation - Global Marketing Company (h/m),111 valoraciones
Media Markt ES,UX Designer,691 valoraciones
Criteo,Junior Sales Manager Mid-Market France,-
Regus,Network Architect,607 valoraciones
SeQura,Backend developer,-
Edelway,Frontend Developer,-
Edelway,Backend Developer,-
Michael Page,Group Digital Analyst (h/m),156 valoraciones
Axxon,SW QA AND TEST RESPONSIBLE,4 valoraciones
Regus,Development Manager – Sales and Marketing Systems,607 valoraciones
Micro Focus,Digital Sales Representative for NESA/UK Market,134 valoraciones
Polyglot Group,Business Intelligence Developer,-
Loyal Guru,Desarrollador Ruby on Rails,-
Page Personnel España,AP Accountant with EU languages (h/m),111 valoraciones
Criteo,"Sr. Manager, Mid Market Marketing",-
Page Personnel España,Compliance Assistant (h/m),111 valoraciones
KEY CONSULTING,Développeur PHP Drupal expérimenté H/F,-
CK Search Global,IT Risk and Audit Manager - Spain,-
Micro Focus,Digital Sales Represetantive with German,134 valoraciones
Grifols,Internal Audit Manager,725 valoraciones
SAP,Mid-Market Sales Executive (ERP Cloud-Native Spanish),1.598 valoraciones
Criteo,"Senior FP&A Analyst, Midmarket EMEA",-
Social You,SEM Senior Performance,-
Smadex,Senior Frontend Developer,-
Micro Focus,Digital Sales Representative with German,134 valoraciones
Linx Consulting,INGENIERO DE PROYECTOS IT,-
Criteo,Intern Account Strategist Mid-Market BeNeLux (Native Level Dutch),-
Criteo,"Co-marketing / Partnerships Manager, Mid-Market Marketing",-
Talent Search People,Technical Consultant with Native Level of Finnish,4 valoraciones
Aspire,Backend Developer - Analytics,-
Page Personnel España,Access Management with Portuguese,111 valoraciones
Criteo,Jr. Sales Manager Mid-Market UK (Native Level English),-
Criteo,Sales Manager Mid-Market UK (Native Level English),-
Page Personnel España,SQL Developer Junior (h/m),111 valoraciones
Loyal Guru,Full Stack Developer Ruby on Rails and Angular Js,-
Page Personnel España,Junior Accountant French or German (h/m),111 valoraciones
Between Technology,Full-Stack PHP Developer,6 valoraciones
Criteo,Sales Manager Mid-Market Turkey,-
Criteo,Sales Manager Mid Market France,-
Criteo,Manager Sales Mid-Market BeNeLux & Nordic's,-
Criteo,Sales Manager Mid-Market Nordic's (Swedish & Norwegian speaker),-
Criteo,Sales Manager Mid-Market Spain,-
Criteo,Manager Sales Mid-Market France,-
Criteo,Sales Manager Mid-Market BeNeLux,-
Criteo,Sales Manager Mid-Market MEA (Hebrew speaker),-
Criteo,Sales Manager Mid-Market Poland (Polish speaker),-
Criteo,Sales Manager Mid-Market Nordic's (Swedish speaker),-
Zinio,Senior PHP Developer,-
Talent Search People,Technical Consultant with Native Level of Danish,4 valoraciones
