company,job,number_of_evaluations
NKI-AVL,Master Student - Convolutional neural networks for localization of high-grade prostate cancer using quantitative MRI,4 reviews
Deloitte,Consultant Regulatory Analytics,6.694 reviews
Arkin,Promovendus,11 reviews
KPMG,Scriptant Cyber,4.383 reviews
Koning & Hartman,Consultant Industrial Automation,6 reviews
Textkernel,"Shape the development of AI and HR Technology: opportunities in engineering, product management, consultancy, and sales",-
Uber,Data Science Manager,-
Harnham,DATA SCIENTIST- ENGINEERING,-
Universiteit van Amsterdam,Assistant or Associate Professor in Big Data Statistics and Econometrics for Business,19 reviews
Microsoft,Cloud Solution Architect,4.486 reviews
Magno IT,Python Developer - monitoring tool video services,-
Growth Tribe,Execution Driven Growth Hacker Intern,-
Philips,Senior Data Scientist Finance & Supply Chain,2.724 reviews
Pegasystems,Test Automation Engineer,-
Triple A - Risk Finance,Junior/Medior Consultant Data Analytics,-
CareerValue,"Full stack .NET development consultant IoT, Machine Learning",3 reviews
Joolz,Product Development Internship,-
Digital Source,Data Engineer,-
AnalysePeople,Marketing Intelligence Specialist | Uitgeverij | Amsterdam,-
Fahr-Becker,Software Engineer AI,-
Textkernel,Application Support Engineer,-
Digital Source,Data Analyst,-
Vrije Universiteit Amsterdam,Postdoc position in Predictive Analytics,27 reviews
McKinsey & Company,Digital Consultant,361 reviews
mediaan,Software Engineer Medior / Senior,-
Madison Parker International,Data Science,-
Henkel AG,Business Science Manager,374 reviews
Antoni van Leeuwenhoek Ziekenhuis,Software developer Radiotherapy Treatment Planning,6 reviews
Splunk,Go-To-Market Manager – MSP & GOSI Alliances,-
TomTom,"Product Manager, Autonomous Driving",41 reviews
KPMG,Senior Consultant Big Data Engineer,4.383 reviews
Textkernel,Partner Manager Benelux,-
Valtech,Data Technology Director,51 reviews
AnalysePeople,Medior Data Scientist | Online Marketing Bureau,-
Pegasystems,Senior Solutions Consultant,-
Deloitte,Manager Regulatory Risk,6.694 reviews
Claudia Sträter Benelux (FNG Group BE),Fulltime Online Marketeer,-
CareerValue,"Lead Data Scientist bij Data Science startup, uniek!",3 reviews
ChipSoft,Stage: Ontwerp een ‘Intrusion Detection Systeem’,4 reviews
Universiteit van Amsterdam,Assistant professor Multiscale Scientific Computing,19 reviews
TomTom,System Administrator (GPU/HPC Cluster),41 reviews
ING,Senior Risk Scientist,1.460 reviews
Atos,Graduates for engineering positions Amstelveen,1.626 reviews
KPMG,Senior Engineer Big Data Technology,4.383 reviews
EF Corporate Solutions,Customer Success Manager,-
Werkspot,Sr. Product manager Core consumer experience,8 reviews
ChipSoft,Stage: Zoekfilters genereren op basis van ‘natural language’,4 reviews
VYE Professionals,Lead Data Scientist - Amsterdam,-
Bright Computing,DevOps Engineer - NL,-
Service Driven Professionals,"Data Warehouse Architect, BI Cloud environment",-
CodeGuild,"Core Java Developer Machine Learning, Big Data, Amsterdam",3 reviews
ABN AMRO Bank,IT Internship - Improving search relevancy,1.008 reviews
CareerValue,Data Engineer a.k.a puzzelaar met consultant vaardigheden,3 reviews
Randstad,data scientist randstad groep it - diemen,11.074 reviews
Universiteit van Amsterdam (UvA),Assistant or Associate professor in Big Data Statistics and Econometrics for Business,-
Textkernel,Technical Consultant,-
Deloitte,Junior Manager Regulatory Risk,6.694 reviews
Deloitte,Senior Consultant Regulatory Analytics,6.694 reviews
Deloitte,(Senior) Consultant Cryptography,6.694 reviews
Digital Source,Chief Data Science,-
PwC,Credit risk & Quantitative Consultant,5.524 reviews
DELL,Internal HPC Sales Executive (English + German OR French),8.249 reviews
Fahr-Becker,Big Data Engineer,-
Deloitte,Graduate Intern Regulatory Risk,6.694 reviews
PHIND,Big Data Engineer (intern),7 reviews
Deloitte,(Senior) Manager Regulatory Analytics,6.694 reviews
PHIND,Lead Data Science Consultant,7 reviews
Textkernel,Software Implementation Consultant,-
Harnham,DIRECTOR DATA SCIENCE- DIGITAL,-
YourProfessionals,Young Excellence Program Data Scientist,-
Vrije Universiteit Amsterdam,Lecturer / Coordinator Business Analytics,27 reviews
Park Plaza Victoria Amsterdam,Commis de Cuisine,-
Universiteit van Amsterdam,Postdoctoral researcher in sensory research,19 reviews
Swammerdam Institute for Life Sciences (SILS),Postdoctoral researcher in sensory research,-
Fahr-Becker,Big Data Scientist,-
Reed Business Information,Business Analyst II,49 reviews
Textkernel,Support Engineering Team Lead,-
Harnham,SENIOR DATA SCIENTIST- AMSTERDAM,-
Digital Source,Senior Data Scientist,-
Loopbaanvacatures.nu,Junior Locatiemonteur,-
Opus Recruitment Solutions,DevOps (SaaS),-
Wageningen UR,Software ontwikkelaar,4 reviews
Feedzai,Account Executive Fraud Solutions,-
