company,job,number_of_evaluations
OLX,Technical SEO Manager (m/f),24 avaliações
Farfetch,Infrastructure Engineer,-
Xpand IT,Especialista em Gestão de Talento IT,-
OutSystems,Software Engineer in Test,12 avaliações
"Marriott International, Inc",Aprendiz de Cozinheiro,-
Xpandit,Senior Microsoft Developer,-
Randstad,human resources assistant,11.074 avaliações
SAP,"Business Development Expert, SAP Leonardo team",1.598 avaliações
Passio Consulting,Big Data Developer (m/f),-
Xpand IT,Engagement Manager,-
OutSystems,Evaluation Success Engineer,12 avaliações
Teleperformance Portugal,French Google Adwords Sales Team Leader (m/f),43 avaliações
Xpandit,Scala / Java Developer Developer,-
Syone,Java Developer (Porto),-
BOLD International,Scala developer,-
Syone SBS Software,Frontend Developer,-
Softinsa,SENIOR TEAM LEADER/PROJECT MANAGER,-
log.oscon,Full Stack PHP/JS Developer,-
QiBit Portugal,EAI Architect,-
Feedzai,Software Architect (M/F),-
Xpand IT,Programador Senior Microsoft,-
Tronik,Back-End Developer (m/f),-
Manpower,FRENCH SPEAKER - Account Manager,13.051 avaliações
Xpand IT,Scala / Java Developer,-
Michael Page,Front end Developer (M/F),-
Randstad,it business intelligence and bigdata developer (m/f),11.074 avaliações
Landing.jobs,Java Developer,-
Psicotec,Front-end Developer (permanent) - Lisboa - (m/f),-
Psicotec,Senior Developer (permanent) - Lisboa - (m/f),-
SAP,Full Stack Web Developer (Java),1.598 avaliações
Teleperformance Portugal,German Google AdWords Sales Team Leader (m/f),43 avaliações
Randstad,software developer (m/f),11.074 avaliações
iTBoon,Java Senior Developer,-
iTBoon,.NET Senior Developer,-
Codit,Consultor .NET Junior / Recém Licenciado,-
OutSystems,Data Engineer,12 avaliações
OutSystems,Data Scientist,12 avaliações
Everis,Consultor Business Intelligence,123 avaliações
Marvil56,Big Data Specialist (M/F),-
WebDisplay,Junior Big Data/Operational Intelligence Consultant,-
Mypeople,Data Scientist,-
OutSystems,Software Engineer,12 avaliações
OutSystems,Data Manager,12 avaliações
OutSystems,Associate Financial Analyst,12 avaliações
Ankix,Big Data Engineer (m/f),-
Manpower,ACCOUNT MANAGER- Swedish Speaker,13.051 avaliações
Manpower,ACCOUNT MANAGER- Arabic Speaker,13.051 avaliações
Manpower,DUTCH SPEAKER - Account Manager,13.051 avaliações
Manpower,ACCOUNT MANAGER- German Speaker,13.051 avaliações
OutSystems,Research Scientist,12 avaliações
Dentsu Aegis Network - Portugal,Analista / Programador Senior - Área de Media,114 avaliações
OutSystems,Digital Operations Analyst,12 avaliações
KIC InnoEnergy,Portugal Office & Team Manager,-
OutSystems,Business Process Manager,12 avaliações
OutSystems,Security Analyst,12 avaliações
Compare Europe Group,Chief Operations Officer,-
OutSystems,Learning and Development Manager,12 avaliações
Sparklegend,Consultor Azure Big Data (M/F),-
OutSystems,Senior Software Engineer,12 avaliações
OutSystems,Online Operations Manager,12 avaliações
OutSystems,IT Compliance and Audit Manager,12 avaliações
Elevus,Junior Big Data Engineer (m/f),-
OutSystems,Developer Marketing Lead,12 avaliações
OutSystems,Senior Recruiter,12 avaliações
OutSystems,Ecosystem Talent Lead - Portugal,12 avaliações
SysMatch,Big Data Engineer,-
SysMatch,Consultor BI/ Big Data,-
Compare Europe Group,Java Fullstack Developer,-
Quantum Metric,Customer Success Engineer (European based),-
BitSight,Front End Engineer,-
OutSystems,HR Generalist,12 avaliações
OutSystems,Senior OutSystems Developer,12 avaliações
Companeo Lda.,Business Developer - English market,-
Ankix,System Engineer (DevOps) (m/f),-
OutSystems,Marketing Financial Controller,12 avaliações
HAYS,IT Business Intelligence and Big-Data Developer (M/F),566 avaliações
Compare Europe Group,Senior Java Fullstack Developer,-
OutSystems,Data Engineering Tech Lead,12 avaliações
OutSystems,Marketing Analytics Specialist,12 avaliações
