company,job,number_of_evaluations
T-Systems International GmbH,Data Engineer (m/w),101 Bewertungen
Vattenfall,Data Steward - Technical Data,30 Bewertungen
SAP,Working Student: Machine Learning Research,1.598 Bewertungen
GetYourGuide,Senior Data Analyst,3 Bewertungen
Wayfair,"Manager, Data Science Merchandising Insights (m/f)",321 Bewertungen
zLabels GmbH,Data Science Lead - Data Insights Team - zLabels,-
Bayer,Research Scientist Medical Bioinformatics (m/f),2.355 Bewertungen
Zeppelin Lab GmbH,Full Stack Developer / Data Engineer (m/f),-
Lidl Digital International GmbH & Co. KG,Data Analyst (w/m) Customer Interface,-
Wayfair,Senior Manager Data Science (m/f),321 Bewertungen
Zalando SE,Data Analyst Customer Analytics,78 Bewertungen
Max Planck Institute for Human Development,Research Intern,-
Amazon.com,Applied Scientist,24.701 Bewertungen
Mimi Hearing Technologies GmbH,Hearing Scientist (PhD) (m/f),-
Infarm,Quereinsteiger/in,-
Flaconi GmbH,Senior Data Engineer (m/w),-
Carmeq GmbH,Studentischer Mitarbeiter für Big Data Projekte (w/m),7 Bewertungen
Microsoft,Principal/Senior Data Scientist,4.486 Bewertungen
Amazon.com,Data Prototype Architect,24.701 Bewertungen
Corning,Working Student or Intern (m/f) Optical Simulations,-
Klarna,Analyst,-
FlixBus,Team lead Data Analytics M/F/X,9 Bewertungen
media.net berlinbrandenburg,Cinuru: React Native Guru,-
Delivery Hero,Data Analyst - Search and Discovery (f/m),7 Bewertungen
McKinsey & Company,Consultant - Analytics & Process Control,361 Bewertungen
Lufthansa Group,Manager Forecasting and Planning (m/f),-
McKinsey & Company,Analyst – Cyber Risk,361 Bewertungen
Zalando SE,Digital Data Analyst,78 Bewertungen
Lastminute.com Group,Programmatic Insights Analyst,-
Eli Lilly,Statistical Analyst/Programmer,1.156 Bewertungen
media.net berlinbrandenburg,Visual Meta: Software Engineer (m/f) Data Warehouse,-
Zalando SE,Head of Data Science - Pricing & Forecasting,78 Bewertungen
COMATCH,Working student Busi­ness Intel­li­gence (m/f),-
Zalando SE,Data Scientist - Personalized Marketing,78 Bewertungen
T-Systems International GmbH,Senior Data Scientist IoT (m/w),101 Bewertungen
PROJECT A,Business Intelligence Analyst (m/f),-
Quandoo GmbH,User Experience Researcher (m/w/t) - Berlin,8 Bewertungen
BuddyGuard,Machine Learning Engineer (m/f),-
HelloFresh,(Senior) Digital Data Analyst DE/EN (m/f),195 Bewertungen
Takeda Pharmaceutical,Medical Advisor Oncology – Germany,520 Bewertungen
Bayer,Postdoc Epidemiology (m/f),2.355 Bewertungen
MAX-DELBRÜCK-CENTRUM FÜR MOLEKULARE MEDIZIN (MDC),"Scientist as Project Manager - HEIBRiDS, General Administration, Data Management, Marketing, Promotion, Student Recruitment (m/f)",-
IQVIA,Medical Science Liaison Manager,95 Bewertungen
Takeda Pharmaceutical,Regulatory Affairs Specialist (f/m),520 Bewertungen
HERE Technologies,Working Student Platform Architecture m/f,193 Bewertungen
Vexcash AG,Risk-/Business-Analyst (f/m),-
cimt,Junior IT‐Berater (m/w) Data Integration,-
Bausch + Lomb,In-house Clinical Research Associate (m/f),-
Zalando Payments GmbH,Data Engineer - Zalando Payments,78 Bewertungen
Technische Universität Berlin,Research Assistant (PostDoc) - salary grade E13 TV-L Berliner Hochschulen - 2nd qualification period (Habilitation),5 Bewertungen
Infarm,Lagerspezialist(-in),-
Project A Ventures,Business Intelligence Analyst (m/f),-
Zalando SE,Product Manager - Data Science - Zalon,78 Bewertungen
dunnhumby,Legal Counsel,-
adsquare GmbH,(Senior/Middle) Big Data Developer (f/m),-
Tesla,"Electric Vehicle Government Relations Intern (m/w), Berlin, Germany",-
GQR Global Markets,Machine Learning Engineer,-
T-Systems International GmbH,Senior Data Engineer IoT (m/w),101 Bewertungen
Quintiles Commercial Germany GmbH,Medical Science Liaison Manager (m/w),1.015 Bewertungen
telexiom,Senior Consultant: Data Scientist Big Data (m/w),-
OUTFITTERY GmbH,Research Lead Machine Learning (m/f),-
Infarm,Shipment Coordinator/ Versand Koordinator (f/m),-
Jefferson Wolfe,Senior Data Engineer,-
Amazon.com,Working Student (Werkstudent) Business Analytics & Reporting (m/f),24.701 Bewertungen
MIAMED GmbH,UX Researcher,-
Delivery Hero Germany,Junior Business Intelligence Analyst (f/m),-
Microsoft,Azure Technology Solutions Professional,4.486 Bewertungen
Oliver Wyman,"Research Officer/ Economic Analyst, Competition Economics",-
NERA Economic Consulting,"Research Officer/ Economic Analyst, Competition Economics",-
BCG Digital Ventures,CPO for one of our Ventures in Munich,-
Dalia Research,Head of Quantitative Research,-
Dalia Research,Senior Quantitative Researcher,-
zLabels GmbH,Senior Data Scientist - Data Insights Team - zLabels,-
OLX,"Chief Data Science Officer, (f/m), (Berlin or Amsterdam or Buenos Aires)",-
Vattenfall,Senior Data Analyst - Technical Data,30 Bewertungen
Gallup,"MySQL Database Administrator - Berlin, Germany",-
HERE Technologies,Software Engineer in Test,193 Bewertungen
Flaconi GmbH,Junior Business Analyst (m/w),-
Hella,STUDENTISCHER MITARBEITER (W/M) INNOVATION: DEEP LEARNING/COMPUTER VISION,73 Bewertungen
M2. technology & project consulting GmbH,Junior Business Intelligence Consultant (ETL / Datenvisualisierung),-
IQVIA,Klinikreferent,95 Bewertungen
Delivery Hero,Director of Machine Learning (f/m),7 Bewertungen
GQR Global Markets,Senior Data Engineer,-
Darwin Recruitment,Data Scientist (Video AI/ML),-
LEVERTON,Scrum Master,-
TomTom,C++ Developer,-
Zalando SE,Head of Data Science / Engineering – Digital Marketing,78 Bewertungen
interact.io Cloud Solutions GmbH,Business Intelligence,-
Zalando SE,Senior Data Scientist - Pricing & Forecasting,78 Bewertungen
media.net berlinbrandenburg,Audible: Business Analyst (m/f),-
Bausch + Lomb,Pharmacovigilance Operations Specialist (m/f),-
Zalando SE,Senior Customer Data Analyst,78 Bewertungen
ZIEGERT ‒ Bank- und Immobilienconsulting GmbH,Head of Analytics (m/w),-
