company,job,number_of_evaluations
PRA Health,Clinical Study Manager (CSM),235 avaliações
NOKIA,Application Developer,3.315 avaliações
Talkdesk,ServiceNow Developer,-
Talkdesk,Salesforce Developer,-
Celgene Corporation,Manager/ Associate Manager Quality Projects & Regulatory,-
Feedzai,UX Designer,-
Hitachi Vantara,Senior Software QA Engineer,-
Michael Page,Python Developer (m/f),-
Bosch,HR IT Analyst Recruitment IT-System (m/f),3.226 avaliações
IQVIA,"Grant Payment Specialist, Oeiras Entrada Imediata",95 avaliações
Siemens AG,Service Transition Manager (m/f),5.974 avaliações
Amazon.com,Solutions Architect - Amazon Web Services,24.701 avaliações
Randstad,big data & bi,11.074 avaliações
Talent Search People,IT ENGINEER EDI,-
Faculdade de Ciências e Tecnologia da Universidade...,Professor Auxiliar,-
OLAmobile,Front-End Developer,-
Feedzai,Senior Scala Software Engineer (M/F),-
Siemens AG,Blockchain Developer (m/f),5.974 avaliações
Siemens AG,Test Automation Expert (m/f),5.974 avaliações
Winprovit,React Native Developer (M/F),-
Frotcom,Software developer (backend) - Portugal,-
Siemens AG,HR Administrator - Spanish Speaker (m/f),5.974 avaliações
NOKIA,Senior Software Developer,3.315 avaliações
Randstad,analytical data reviewer (m/f),11.074 avaliações
IQVIA,"Polish Grant Payment Specialist, Oeiras",95 avaliações
Closer,Senior Developer QlikView,-
Psicotec,Data Engineer for football broadcasting company – (permanent) – Lisbon (M/F),-
IQVIA,"Client Service Analyst - Oeiras, Entrada IMEDIATA",95 avaliações
Feedzai,Systems Administrator (M/F),-
Crossjoin Solutions,DBA SQL Server,-
Panalpina,Corporate IT Team Lead for Application support,184 avaliações
Bliss Applications,iOS Developer,-
Kelly Services-Portugal,Global Customer Experience Support (m/f),11.376 avaliações
Feedzai,Software Development Engineer in Test (M/F),-
Siemens AG,System Manager - Unix Administrator (m/f),5.974 avaliações
IQVIA,Experienced Clinical Research Associate,95 avaliações
Randstad,human resources assistant,11.074 avaliações
Psicotec,IT Integration Specialist – Lisbon (m/f),-
OutSystems,Evaluation Success Engineer,12 avaliações
Instituto de Telecomunicações,ENVISION,3 avaliações
Qibit,Service Manager (m/f),-
Papersoft-dms,Database Administrator,-
Xpandit,Senior Microsoft Developer,-
Kelly Services-Portugal,Automation Tester (M/F) - Lisbon,11.376 avaliações
Cartrack,Linux Systems Engineer,-
Tronik,Junior Developer (m/f),-
log.oscon,Full Stack PHP/JS Developer,-
IQVIA,Russian Service Desk Support Analyst,95 avaliações
AGORA Systems,Technical Support Engineer,-
Siemens AG,IT Security & Audit Coordinator for PKI (m/f),5.974 avaliações
Frotcom International,Software Developer (Backend),-
TIMWE,Senior DB Administrator,6 avaliações
OutSystems,Software Engineer in Test,12 avaliações
Farfetch,Senior Product Designer (B&W Consultant),-
Siemens AG,HR Administrator Italian Speaker (m/f),5.974 avaliações
Feedzai,Software Architect (M/F),-
Reditus,Sénior Java Software Developer,33 avaliações
Qibit,Microsoft Developer (m/f),-
Daymon WorldWide,Solution Architect / Senior Developer,190 avaliações
QiBit Portugal,EAI Architect,-
Sendit,.Net Developer,-
IQVIA,"Greek Grant Payment Specialist, Oeiras",95 avaliações
IQVIA,Hebrew Grant Payment Specialist - OEIRAS,95 avaliações
Web Summit,Senior Software Engineer |Team Lead,8 avaliações
Kelly Services-Portugal,SAP Authorization Management Team (M/F),11.376 avaliações
Kelly Services-Portugal,Human Resources Administrative - Italian Speaker (M/F) - Lisbon,11.376 avaliações
Psicotec,Front-end Developer (permanent) - Lisboa - (m/f),-
Randstad,it business intelligence and bigdata developer (m/f),11.074 avaliações
Panalpina,Corporate Application Support Engineer (Java),184 avaliações
Siemens AG,HR Administrator - Dutch & French Speaker (m/f),5.974 avaliações
Randstad,analytical chemist – computerized systems (m/f),11.074 avaliações
Bliss Applications,Backend Developer .NET,-
Syone,Java Developer (Porto),-
Siemens AG,"Java Developer (Full Stack, IAM, Spring, Microservices, AngularJS) (m/f)",5.974 avaliações
WYgroup,Bliss Applications - Web Frontend Developer (M/F),-
Randstad,software developer (m/f),11.074 avaliações
Psicotec,Senior Developer (permanent) - Lisboa - (m/f),-
KCS IT,Java Software Developer,-
Kelly Services-Portugal,Human Resources Administrative - German Speaker (M/F) - Lisbon,11.376 avaliações
Randstad,support service engineer (m/f),11.074 avaliações
Landing.jobs,Java Developer,-
Crossjoin Solutions,Software Engineer (Java),-
Upgradem,Customer Service Engineer (m/f) m/f,-
WYgroup,Bliss Applications - iOS Developer (M/F),-
IQVIA,Danish Service Desk Support Analyst,95 avaliações
Randstad,si engineer - solution architect,11.074 avaliações
BOLD International,Java SW Engineer,-
WYgroup,Bliss Applications - Backend Developer (F/M),-
IQVIA,French Tech System Support Analyst,95 avaliações
IQVIA,German Service Desk Support Analyst,95 avaliações
Robert Walters,Java Fullstack Developer (m/f),46 avaliações
Noesis,Data Scientist,-
OutSystems,Software Engineer,12 avaliações
Noesis,Data Scientist/Analyst,-
OutSystems,Digital Operations Analyst,12 avaliações
Nex t Engineering,Business Intelligence Consultant,-
Compare Europe Group,Business Analyst,-
OutSystems,Data Scientist,12 avaliações
OutSystems,Research Scientist,12 avaliações
Mypeople,Data Scientist,-
Noesis,Master Data Management,-
OutSystems,Data Engineer,12 avaliações
OutSystems,Customer Success Product Owner,12 avaliações
WebDisplay,Junior Big Data/Operational Intelligence Consultant,-
OutSystems,Security Analyst,12 avaliações
trendiamo Unipessoal Lda.,Online Marketing Manager,-
Instituto Gulbenkian de Ciência,Bolsa de Investigação,6 avaliações
Reditus,SAP BI Junior,33 avaliações
Nex t Engineering,SAS Developer,-
Beekeeper,Software Engineer (Lisbon),-
IntellectEU,Senior Python & PHP Engineer / team lead,-
Marvil56,Big Data Specialist (M/F),-
Champalimaud Research,Senior Clinical Psychologists Technician [BOUNCE],-
Edicom Group,IT Sales Consultant,-
Mycujoo,Data Engineer,-
Mobizy,"Mobile Developers (iOS, Android, Windows Phone)",-
Enyosolutions,LEAD DEVELOPER FULLSTACK Javascript,-
Passio Consulting,SAS CONSULTANT (M/F),-
New adVentures,Web Developer,-
Watt-IS,Full-stack Web developer,-
OutSystems,Data Manager,12 avaliações
Watt-IS,Front-End Web Developer,-
OutSystems,Senior Software Engineer,12 avaliações
aspire technology,Senior Professional Services IP Transport Systems Engineer,-
Noesis,Systems Administration Senior,-
SpotQA,Senior Software Engineer (Full-Stack),-
FOUND,Java Developer,-
OutSystems,IT Compliance and Audit Manager,12 avaliações
Coriant,Sr Lead Infrastructure Engineer,-
