company,job,number_of_evaluations
Kantar Millward Brown,Analytics Director,-
FICO,Lead Analytic Scientist,-
CAPCO,Delivery Lead MP,-
CAPCO,Build Lead MP,-
CAPCO,Integration Lead,-
Microsoft,DATACENTER TECHNICIAN LEAD,4.486 avaliações
ZS Associates,Strategy Insights & Planning Consultant,-
Goldman Sachs,Finance & Risk Engineering - Software Engineer,1.116 avaliações
Cisco,MANAGER SYSTEMS ENGINEER,3.891 avaliações
CA Technologies,"Manager, Services Delivery",699 avaliações
CAPCO,.NET Developer Senior Consultant,-
Ciena,Junior Sales Associate,-
Amazon.com,"Infrastructure Country Manager, Brazil",24.701 avaliações
Syngenta,Product Safety Manager/ Gerente de Product Safety,656 avaliações
Viki,Front-End Developer,-
Mollica RH,Desenvolvedor Java,-
Cargill,Consultor de IT – São Paulo/SP,2.602 avaliações
99 TAXIS,Software Engineer SÃO PAULOCSI,8 avaliações
Honeywell,Sr HSE Supervisor,5.938 avaliações
"Agilent Technologies, Inc.",Enterprise Services Project Manager,486 avaliações
Salesforce,Principal Enterprise Architect,363 avaliações
CAPCO,CRM Architect,-
IQVIA,Real World Evidence Site Management Lead,95 avaliações
Microsoft,Sr Software Engineer,4.486 avaliações
Colgate-Palmolive,Oral Care Consultant (Campinas),1.506 avaliações
IQVIA,Consultant,95 avaliações
MONSANTO,Project Management TD Corn Germplasm Lead,1.446 avaliações
Mosanto,Project Management TD Corn Germplasm Lead,-
Syngenta,Estagiario R&D Project Management and Reporting / Management and Reporting R&D Internship,656 avaliações
Colgate-Palmolive,Vendedor (Bauru/Ribeirao Preto),1.506 avaliações
Amazon.com,Software Development Intern,24.701 avaliações
Amazon.com,Senior Product Manager,24.701 avaliações
Microsoft,Regional IT Program Manager,4.486 avaliações
CA Technologies,Services Architect,699 avaliações
SAP,DBS Services Delivery - Analytics & Insight Services Practice Unit Lead LAC,1.598 avaliações
CA Technologies,"Consultant, Presales",699 avaliações
Amazon.com,Software Development Intern - Amazon.com Sao Paulo office,24.701 avaliações
amdocs,Java Software Developer @ São Carlos,821 avaliações
IQVIA,Sr Consultant InVitro Market,95 avaliações
amdocs,Root Cause Support Engineer @ São Carlos,821 avaliações
CAPCO,.NET Developer Associate,-
MONSANTO,Software Development Engineer in Test,1.446 avaliações
Accenture,Consultor de Data Science,13.886 avaliações
Amazon.com,Security Solutions Architect – Financial Services Global Accounts (LATAM),24.701 avaliações
Amazon.com,Senior AWS Solutions Architect - Microsoft Platform,24.701 avaliações
General Electric,Estágio em TI,220 avaliações
99 TAXIS,Senior Backend Developer SÃO PAULOSAFETYFULL-TIME,8 avaliações
OSIsoft,Product Support Engineer - Sao Paulo,-
Syngenta,Competitive Intelligence Internship / Estagiário Inteligência Competitiva,656 avaliações
