company,job,number_of_evaluations
99 TAXIS,Software Engineer SÃO PAULOCSI,8 avaliações
REACHR,ANALISTA PROGRAMADOR BIG DATA,-
Viki,Head of Physical Retail,-
CA Technologies,Services Architect,699 avaliações
WSO2,Solutions Engineer - Pre Sales,-
GeekHunter,Consultor de Web Analytics (Programador JavaScript),-
Synoro Negócios Inovadores,Analista de BI - Experiência em SAP HANA,-
EY,Data Analytics - Estatístico,5.232 avaliações
-,Analista de Suporte,-
EY,Gerente de Advanced Analytics,5.232 avaliações
Riot Games,Esports Business Development Manager,-
Micro Focus,Strategic Software Sales Representative,-
CA Technologies,"Consultant, Presales",699 avaliações
Biggy,Estagiário(a) em Desenvolvimento Front-end - Front-End | Júnior,-
Amazon.com,"Infrastructure Country Manager, Brazil",24.701 avaliações
EY,Consultor Senior Analytics,5.232 avaliações
Mollica RH,Desenvolvedor Java,-
Improving br,Desenvolvedor Backend Java,-
-,Analista de Business Intelligence,-
Microsoft,Premier Field Engineer,4.486 avaliações
InnerWorkings,Account Analyst,-
-,Data Enginner,-
GeekHunter,Engenheiro de Software Backend,-
Synoro Negócios Inovadores,Líder Técnico de BI,-
Goldman Sachs,Engineering - Operations Engineering - Post Trade Support Associate - Vice President - Sao Paolo,1.116 avaliações
CA Technologies,Regional Comp & Benefits Specialist,699 avaliações
EY,Desenvolvedor Python,5.232 avaliações
Hexacta do Brasil LTDA,Consultor de Big Data,-
Facebook,"Client Solutions Manager, Consumer Goods",344 avaliações
99 TAXIS,Recruiter of Disable positions SÃO PAULORHFULL-TIME,8 avaliações
99 TAXIS,Recruiter - Generalist SÃO PAULORHFULL-TIME,8 avaliações
CA Technologies,Sr People Business Partner,699 avaliações
Criteo,"Sales Manager, Brand and Agency",21 avaliações
Page Personnel,Analista de Arquitetura TI Sr,111 avaliações
Accenture,Programa de Férias ou Estágio - Analytics,13.886 avaliações
Criteo,Account Strategist,21 avaliações
Vermont,Desenvolvedor JAVA Sr Big Data,19 avaliações
Quality,Analista Desenvolvedor Java / Big Data - Sênior,-
EY,Consultor Sênior Analytics,5.232 avaliações
EY,Consultor Sênior - Advanced Analytics,5.232 avaliações
SAP,DBS Services Delivery - Analytics & Insight Services Practice Unit Lead LAC,1.598 avaliações
-,Gerente de Novos Negócios,-
CA Technologies,Sr Services Consultant,699 avaliações
HOLDEN Recruiting Talents,Documentador Técnico Senior,-
Atma IT Solutions,Estagiário(a) em Desenvolvimento Web,-
HPROJEKT,Cientista de Dados,5 avaliações
Mollica RH,Analista de Sistemas e Soluções,-
Uber,Regional Marketing Strategist,480 avaliações
InnerWorkings,Account Assistant,-
CA Technologies,Digital Account Executive,699 avaliações
Netflix,Site Reliability Engineer,391 avaliações
