company,job,number_of_evaluations
eBay Inc.,Team Lead Big Data/applied Data science,1.395 reviews
PHIND,Teamlead Data Science,7 reviews
KPMG,Lead Enterprise Data Architect.,4.383 reviews
ABN AMRO Bank,Product Owner CRM Data,1.008 reviews
Universiteit van Amsterdam,PhD candidate or Postdoctoral researcher in Machine Learning & Deep Learning,19 reviews
Liberty Global,Reporting Specialist,30 reviews
Geodan,Business Consultant,-
PwC,Actuarial & Quantitative Consultant Amsterdam,5.524 reviews
EY i3,Business Intelligence Consultant,-
AnalysePeople,Senior Data Scientist | Publisher | Amsterdam,-
PwC,Associate - Digital Assurance Academy,5.524 reviews
Eventbrite,Content Marketing Manager,-
CloudConnect,Consultant Business Intelligence,-
Ace & Tate,HR Assistant,2 reviews
Prowise,HR Assistant,-
Magno IT,NLP Scientist,-
Scotch & Soda,Intern Production,30 reviews
Graydon Nederland BV,Salesmanager New Business,6 reviews
Optiver,Senior Network Engineer,10 reviews
jansen en van der zee,Big Data Marketing Analist,-
Xccelerated,Big Data Engineering Accelerator (Junior),-
Magno IT,DevOps,-
Tommy Hilfiger,merchandiser - tommy hilfiger tailored,1.511 reviews
Magno IT,Pmo,-
Strukton,Infra verantwoordelijke,33 reviews
EY,Werkstudent WO - Actuarissen / Econometrie (EMEIA FSO),5.232 reviews
MessageBird,Talent Marketer,-
IHS Markit,Explore the possibilities,-
Kraft Heinz Company,GCL Packaging,2.879 reviews
ConversionMob,Growth Marketer,-
Vesteda,Researcher,-
PwC,Technologie Adviseur Publieke Sector,5.524 reviews
Witteveen+Bos,Adviseur smart industriële automatisering,3 reviews
Triple A - Risk Finance,Junior/Medior Consultant Data Analytics,-
ITL Netherlands,Lead Consultant - Analytics Consulting,-
Kraft Heinz Company,PMO People & Performance Operations,2.879 reviews
NLR,Enthousiaste Datascientist die houdt van programmeren,-
Netflix,Senior Financial Analyst,-
Atos,Afstudeerstage: Business Analist Blockchain,1.626 reviews
PwC,Digital Requirements Engineers,5.524 reviews
AnalysePeople,Medior/Senior Data Scientist | Online Media | Amsterdam,-
Teradata,Solution Architect,-
Mobiquity,Senior Data Consultant,-
TomTom,Research engineer,41 reviews
Atos,Junior BI Consultant,1.626 reviews
KLM,Duaal Student Decision Support / Data Science / Operations Research,253 reviews
Epiphany,Consultant,-
VYE Professionals,Junior Big Data Marketing Analist - Amsterdam,-
MessageBird,Social Media Marketer,-
KLM,Duaal student KLM Cityhopper,253 reviews
S&D interactive Media,Stage econometrie / big-data,-
ServiceNow,"Solution Consultant, Platform",-
GGZ inGeest,Bouw mee aan het Datawarehouse van GGZ inGeest!,14 reviews
Fahr-Becker,Big Data Business Consultant,-
