company,job,number_of_evaluations
JP Morgan Chase,Applications Support - Java Developer,19.840 evaluaciones
RedCloud Technologies,Sr Tax Accountant,-
JP Morgan Chase,Software Engineering - SSr JavaScript developer,19.840 evaluaciones
GITstorm,Programador C# Sr.,-
JP Morgan Chase,Applications Development - Java Developer,19.840 evaluaciones
Ximple HR,Desarrollador I+D,-
Grandata,Lead DevOps Engineer,-
ADN HR,Analista Funcional - BI/ con experiencia en Pentaho y/o,3 evaluaciones
MuleSoft,Senior Software Engineer,14 evaluaciones
Hexagon Consulting,Desarrollador ABAP,-
JP Morgan Chase,Software Engineering- .NET Developer,19.840 evaluaciones
JP Morgan Chase,Java Developer Lead - VP,19.840 evaluaciones
Consultora Cenit,Analista Sr. BI & Analytics (ETL),-
RedCloud Technologies,Finance & Administration Sr Accountant/ Contador Sr Admnisitrativo,-
JP Morgan Chase,Software Engineering- Developer C# SR,19.840 evaluaciones
OLX,Full Stack Javascript Engineer,24 evaluaciones
Tecnosoftware,Arquitecto Java Senir,2 evaluaciones
JP Morgan Chase,Software Engineering - Java Technical Lead,19.840 evaluaciones
Grupo Transatlántica,Analista Sr. de Marketing digital,-
Werben HR,"Semi Sr/Senior Swd Enginner Puerto Madero, CABA",-
Bandit,PHP Developer Sr. - con Inglés,-
Werben Capital Humano,"Arquitecto NET, Parque Patricios CABA ID 313",-
Werben Capital Humano,"Site Reliability Engineer Palermo, CABA ID157",-
True North,SENIOR BACKEND DEVELOPER | ARGENTINA,-
Werben Capital Humano,"QA automation Enginner , Microcentro , CABA iD 335",-
Werben Capital Humano,"Semi Sr/Senior Swd Enginner Puerto Madero, CABA ID 391",-
HV Talent,Senior PHP Developer LAMP,-
Randstad,ssr / sr developer (back end),11.042 evaluaciones
ADN HR,Senior Java backend developer,3 evaluaciones
Werben Capital Humano,"Desarrollador Java Ssr / Sr GBA, Munro ID165",-
