company,job,number_of_evaluations
BNP Paribas,"STAGE DATA SCIENTIST, H/F",2 123 avis
Groupe Andit,Ingénieur Architecte Big Data,-
Bel Group,Data Analyst (H/F),36 avis
Shift Technology,Data Scientist (ES),-
Thales Group,[Stage] – Performance Analysis -Big Data (H/F),791 avis
OUI.sncf,Assistant Data Scientist (H/F),3 avis
Keyrus,Consultant Big Data H/F (Paris),8 avis
Manomano,Head of Data Engineering (H/F),-
AVA2I,Expert Oracle/big Data H/F / Freelance,-
NOUVELLE SCALA,Ingénieur Big Data F/H,-
MGT Conseil,Stagiaire Consultant(e) décisionnel (BI) / Big Data,-
Direction générale des entreprises (DGE),"Rapporteur, spécialiste de l'éthique des données (Data Ethicist) - CNN - DGE",-
Beetween,Responsable de projet BIG DATA F/H,9 avis
FINDIT CONSULTING,Ingénieur Infrastructure BIG DATA H/F,-
Dailymotion,BI/Big Data Engineer (M/F),10 avis
OUI.sncf,Data Scientist (H/F),3 avis
Scaleway,Big Data Product Manager,-
Econocom,Consultant Big Data H/F,58 avis
BNP PARIBAS Arval,Data Scientist H/F,57 avis
Thales Group,Apprenti(e) Data Analyst - H/F,791 avis
Institut national d'études démographiques,Data manager,-
Generali France,Data scientist H/F,133 avis
Actimage,Data Analyst,5 avis
Kantar Media,Statistician Data Analyst H/F,69 avis
CDI interne Banque (via le cabinet de recrutement...,Architecte SI – Big Data - CDI INTERNE BANQUE F/H,-
intm groupe,Consultant Big Data,-
1000MERCIS,Chef de Projets Big Data / RTB F/H,-
Dentsu Aegis,DATA Scientist (H/F),114 avis
Groupama,Data scientist H/F,309 avis
Talend,Product Manager Big Data,-
Teamnet France,ARCHITECTE WEB / BIG DATA (H/F),-
Groupe Lobellia, Chef de projet BI/Big Data F/H,-
Murex S.A.S.,Java DeveloperExpert H/F Real Time / Big Data,-
Génaris Group,Consultant MatLab - Algorithmie / Big Data (H/F),-
BK Consulting,Devops Big Data / Freelance,-
LR TECHNOLOGIES,Architecte Big Data F/H,-
Sogeti France,ARCHITECTE BIG DATA H/F,20 avis
BeNext,Data Scientist,-
OVALO,Développeur Confirmé Big Data F/H,-
Thales Group,Ingénieur(e) Java / Big Data (H/F),791 avis
Allianz France,Alternance - Data Scientist -Statisticien économiste (H/F),457 avis
BLUESCALE,Consultant Big Data F/H,-
Crédit Agricole Leasing & Factoring,Data Scientist H/F,5 avis
La banque postale,Data Quality Manager H/F CDI,311 avis
C3 IoT,Data Scientist (Paris),-
PALO IT,Big Data Architect,-
soft.computing,Stage - Consultant Data Scientist,-
Infopro,Data Analyst,-
Google,"Big Data Product Specialist (EMEA), Google Cloud",2 392 avis
CAP FI TECHNOLOGY,Data Scientist,-
Phianiss,Data scientist,-
Altran,Business Development Manager Big Data & Décisionnelle - H/F,203 avis
Avisia,Data Scientist,-
Keyrus,Project Manager Data H/F (Paris),8 avis
Bouygues Telecom,CHEF DE PROJET BI BIG DATA H/F,365 avis
Freelance.com,Architecte Big Data / Freelance,-
SFR,Data Scientist - H/F,254 avis
Schneider Electric,Big Data Architect Lead H/F,2 959 avis
Avisia,Data Engineer,-
Total,Data Scientist Expert H/F,865 avis
Meritis Finance,Développeur Big Data / DevOps (H/F),-
02/03/2018,Data Scientist H/F,-
LCL,Responsable de projets SI BIG DATA H/F,142 avis
Renault,APPR - BAC + 5 - Data Scientist H/F,3 045 avis
ILYEUM,Développeur Big Data / spark-cassandra-hadoop F/H,-
TEEMO,Data Analyst Intern (H/F),-
Malakoff médéric,Alternance - Data Analyst - Écosystème Data H/F,65 avis
Novagen Conseil,Ingénieur Big Data / Datascientist F/H,-
Global Knowledge,Futur architecte big data,-
SAGEMCOM,Architecte Référent Métier Big Data F/H,33 avis
K2 Partnering Solutions Ltd,Product owner confirmé dans le BIg Data / Paris / Freelance,-
CONTENT SQUARE,Data Scientist F/H,2 avis
-,Architecte BIG DATA,-
Credit Agricole Assurances,ALTERNANCE - DATA SCIENTIST JUNIOR H/F,1 274 avis
Disneyland Paris,Data Engineer (F/H),459 avis
EDF,Data Scientist - H/F,1 124 avis
AccorHotels,Data Scientist,1 112 avis
