company,job,number_of_evaluations
HAP,CTO - Chief Technology Officer,29 valoraciones
Robert Walters,Data Scientist,46 valoraciones
BNP Paribas Personal Finance,VIE Chef de Projet Transformation Numérique H/F - Madrid,57 valoraciones
Atos,Responsable Servicio Seguridad - MADRID,1.626 valoraciones
Between Technology,Programador/a Web,6 valoraciones
Criteo,"Data Analyst, 6-month student internship",-
Geoblink,Product Analyst Intern,-
Airbus Defence and Space,Mission Debriefing and Post-Flight System Engineer,1.160 valoraciones
Diezpuntocero,Data Science PYTHON,-
HAP,DO - DevOps Engineer,29 valoraciones
Iwantic,Data Analyst,-
Catenon,Multiplatform Data Analyst,-
everis,Arquitecto Junior de Software,123 valoraciones
IATA,"Intern, DPC Validation Task Force",32 valoraciones
Atos,CONSULTOR/A PREVENTA: ÁREA SEGURIDAD - MADRID,1.626 valoraciones
Banco Popular Español,AUDITORIA INTERNA: RIESGOS TECNOLOGICOS,852 valoraciones
Atos,TESTER ALTO NIVEL,1.626 valoraciones
Planet Expat,SysAdmin,-
Santander,AUDITORIA INTERNA: RIESGOS TECNOLOGICOS,1.963 valoraciones
Mitula Grupo,Back End Developers,-
Harnham,SENIOR BIG DATA ENGINEER,-
Amazon.com,Business Development Representative - French Language Speaker,24.696 valoraciones
Robert Walters,Python/Big Data Developer,46 valoraciones
"Ferrovial, S.A.",CTO,167 valoraciones
Vodafone,Analista de Negocio para operaciones Comerciales,3.271 valoraciones
Oracle,Cloud Enterprise Architect,3.952 valoraciones
Planet Expat,Back-end Engineer,-
Verifica,Técnico/a de Data Analytics,16 valoraciones
Iwantic,Data Scientist,-
CRANDP,Data Scientist Preventa – Big Data/ Machine Learning,-
360 talento,Data Scientist,-
The Cocktail,Data Scientist,-
SOLTEL Soluciones Informáticas,Desarrollador Big Data,-
CartoDB,Software Engineer,-
Accenture,Big Data Security Consultant,13.886 valoraciones
Ecix Group,Analista programador,-
Deloitte,Ciberseguridad - Software Developer,6.693 valoraciones
Accenture,Data Scientist Advanced Analytics expert (Madrid),13.886 valoraciones
Digital Training,"Arquitecto Big Data, Madrid",-
Frontiers Media SA,Senior Software Engineer,-
Avature,Senior Software Engineer,-
Kudelski SA,Senior Software Engineer,-
Ericsson,Mobile Network Roll out Engineer,4.902 valoraciones
PSS,Consultor Big Data Spark,77 valoraciones
H-Human,Ingeniero Desarrollo Android,-
Sionic Advisors,Business Analyst/PM - Compliance,-
Catenon,Consultor Funcional BI Big Data,-
Uber,"Operations Manager - Funnel Operations, Southwest Europe",479 valoraciones
Clarity.ai,Junior Visual Designer,-
Grupo Ontwice,Digital Analyst,-
Hiring IT,BIG DATA DEVELOPER,-
Sizmek,Senior Analyst,-
Deloitte,Recién titulados en Ingeniería o Matemáticas,6.693 valoraciones
GMV,Testing Engineer,15 valoraciones
MAPFRE,Prácticas en Big Data e Inteligencia Artificial,397 valoraciones
McKinsey & Company,Consultant - Predictive Maintenance & Reliability,361 valoraciones
Paradigma Digital,Desarrollador Big Data,-
SOTEC CONSULTING,"Analista Programador Power Center Junior, Madrid",-
IZO,Expansion Business Consultant,-
The Cocktail,Data Engineer,-
Iwantic,Data Engineer,-
Willis Towers Watson,Actuarial Consultant Life,693 valoraciones
IBM,SIEM Engineer,21.723 valoraciones
Ericsson,R&D SW Engineer,4.902 valoraciones
CRANDP,Big Data Consultants and Developers,-
The Boston Consulting Group,Events Operations & Rooming Coordinator,182 valoraciones
IATA,Accreditiation Representative,32 valoraciones
IATA,Accreditation Representative,32 valoraciones
Atos,ES - MEV - BCN/MDR - BECA Solution Assistant,1.626 valoraciones
Future Space S.A.,Developer Big Data,-
Nuance,Digital Content Specialist (Spanish/Portuguese) - 6 month contract - 3 days a week,-
Amazon.com,Business Development Representative - German Language Speaker,24.696 valoraciones
Atos,ES - IDM - OCO - IGAE - ADMINISTRADOR DE RED (2/2),1.626 valoraciones
Netflix,"Tech Ops Specialist, Studio Technology",391 valoraciones
managementsolutions,CONSULTOR NUEVAS TECNOLOGÍAS Y TRANSFORMACIÓN DIGITAL MADRID,35 valoraciones
Atos,ESPECIALISTA: ITSM BMC REMEDY - MADRID,1.626 valoraciones
Santander,SCF GLOBAL SERVICES: Data Management Specialist,1.963 valoraciones
Banco Popular Español,SCF GLOBAL SERVICES: Data Management Specialist,852 valoraciones
Open sistemas,Project / Team Leader,-
Cepsa,Técnico de Arquitectura Cloud,184 valoraciones
IBM,IBM WebsPhere Commerce Consultant,21.723 valoraciones
Atos,Técnico de Soporte a producción de aplicaciones,1.626 valoraciones
Amazon.com,Internship Data Analysis for Procurement (M/F),24.696 valoraciones
Mercedes-AMG GmbH,Program Management (Graduate),-
Ericsson,Internship as Project Planner,4.902 valoraciones
Amazon.com,Senior Software Development Engineer,24.696 valoraciones
Atos,ESPECIALISTA ITSM SERVICE NOW: MADRID,1.626 valoraciones
StubHub,Training and Quality Manager,-
ALTEN Spain,"Consultor / Desarrollador Big Data, Madrid",4 valoraciones
Canal UGR,CONSULTOR/A DATA SCIENCE,-
Shoppermotion,Full Stack Engineer,-
Between Technology,Técnic@ de Datos,6 valoraciones
Keepcoding,Gestor Proyectos - Tecnología formación.,-
dxc technology,Analytics Solution Architect,1.377 valoraciones
Minsait,Senior Research Engineer,2 valoraciones
Just Eat,Service Manager Spain,96 valoraciones
Lingokids,Sr Backend Engineer,-
IBM,Business Transformation Consultant: Financial Markets,21.723 valoraciones
GFT Technologies,Data Developer,-
Michael Page,Data Scientist,156 valoraciones
Serem,"Científico de Datos, Madrid",5 valoraciones
Tribal World Wide,Digital Analytics Consultant (Madrid),-
The Cocktail,Business Intelligence Consultant,-
Atos,Atos Talent Valladolid,1.626 valoraciones
Kraft Heinz Company,Finance Analyst,2.879 valoraciones
Harnham,SENIOR BIG DATA ARCHITECT,-
PSS,Programador Business Intelligence Bi,77 valoraciones
Santander,SCF GLOBAL SERVICES: Data Management Senior Specialist,1.963 valoraciones
Banco Popular Español,SCF GLOBAL SERVICES: Data Management Senior Specialist,852 valoraciones
Plexus,Jefe de Proyecto IT,302 valoraciones
The Boston Consulting Group,Platform Specialist,182 valoraciones
eBay Inc.,Training and Quality Manager,1.395 valoraciones
Open sistemas,Machine Learning Developer,-
The Boston Consulting Group,Lead Specialist - Content Management: Technology Advantage,182 valoraciones
Airbus Defence and Space,Predictive Maintenance Specialist,1.160 valoraciones
HR Consulting,Técnico/a Jr. de Análisis de datos,-
BSDENTERPRISE España,"Analista programador Qlickview, Madrid",-
IBM,DevOps engineer-Infrastructure developers,21.723 valoraciones
Neovantas,Business Analyst en prácticas,-
Uber,Senior Operations Manager (Marketplace Efficiency) - Southwest Europe,479 valoraciones
JPS Selection,[BI/DATA] Enterprise Account Executive,-
Sintesys Global,DBA / Cloud,-
Accenture,Digital Manager Analytics/Big Data in Telecom Industry (Madrid),13.886 valoraciones
Google,"Strategic Cloud Engineer, Google Cloud Professional Services",2.391 valoraciones
AlamoConsulting,Consultores Tecnologías de la Información- Madrid y País Vasco,-
BT,Networking & Security Technician,1.839 valoraciones
Avature,Quality Assurance Engineer,-
Álamo Consulting,Consultores Tecnologías de la Información,-
The Boston Consulting Group,"Senior Analyst - Senior Analyst, Predictive modelling & Statistics & Machine Learning",182 valoraciones
Amadeus,Program Management (Graduate),153 valoraciones
Harnham,INGENIERO BIG DATA,-
Airbus Group,INTERNSHIP - FLIGHT TEST MEANS,1.160 valoraciones
Willis Towers Watson,Intern - Talent Management -,693 valoraciones
Airbus Defence and Space,Finance NextGen Programme: A400M Retrofit Controller,1.160 valoraciones
GMV,Ingeniero de Datos con experiencia en Python,15 valoraciones
Google,"Field Sales Representative, Google Cloud (English, Spanish)",2.391 valoraciones
IBM,Senior Security Consultant - SIOC competence,21.723 valoraciones
Pandora Jewelry,HEAD OF FINANCE,887 valoraciones
Amazon.com,Finance Internship 2018 M/F,24.696 valoraciones
AlienVault®,Senior Software Engineer,-
Santander,AUDITORIA INTERNA: AUDITOR JUNIOR RIESGOS TECNOLOGICOS,1.963 valoraciones
Banco Popular Español,AUDITORIA INTERNA: AUDITOR JUNIOR RIESGOS TECNOLOGICOS,852 valoraciones
Atos,OPERADOR SIEM VALENCIA - MADRID,1.626 valoraciones
Airbus Defence and Space,Digital Platform Solution Architect,1.160 valoraciones
MAPFRE,Gestor/a de Servicio TI Marketing Digital,397 valoraciones
Robert Walters,Desarrollador de Negocio (hunter),46 valoraciones
Open Sistemas,"Arquitecto de Datos, Madrid",-
DXC,Position: 19074560 - Technical Consultant - Barcelona WMA113163,1.377 valoraciones
Le Guide Noir,Diseñador y maquetador Frontend,-
CHEP,Developer Reporting & Analyst,442 valoraciones
Micro Focus,Account Executive (NetIQ),134 valoraciones
Randstad Technologies Madrid,"Desarrollo de proyecto Big Data, Madrid",-
Spring Professional,DATA SCIENTIST,2 valoraciones
managementsolutions,DESARROLLADOR DEPARTAMENTO TECNOLOGÍA,35 valoraciones
Visa,"Senior Manager, Brand and Product Marketing",591 valoraciones
Atos,ES - BDS -CYS- BECA CONSULTORIA E INTEGRACIÓN SOLUCIONES CYS MADRID BCN,1.626 valoraciones
atSistemas,Dba Oracle,-
atSistemas,Desarrolladores Frontend- Reactjs,-
Atos,CONSULTOR FUNCIONAL SALESFORCE,1.626 valoraciones
Atos,CONSULTOR TECNICO SALESFORCE,1.626 valoraciones
GMV,Ingeniero de infraestructuras Linux y Docker,15 valoraciones
IBM,Account Architect,21.723 valoraciones
Social You,Affiliate Marketing,-
Avantgarde IT,Maquetador/a Web,-
Spring Professional,BIG DATA ENGINEER,2 valoraciones
K-LAGAN ESPAÑA,Desarrollador/a Big Data,-
AlienVault®,Senior Performance Test Engineer,-
Manpower,Técnico valoración financiera (H/M),13.050 valoraciones
linea directa,Analista BI Senior Integración,12 valoraciones
Tenea Tecnologías,Data Developer,-
atSistemas,Jefe De Proyecto Pmo-,-
dxc technology,19074560 - Technical Consultant - Barcelona WMA113163,1.377 valoraciones
NOVABASE,Consultor Pmo,24 valoraciones
GMV,Prácticas: Desarrollo para Centros de Control de Satélites,15 valoraciones
Denodo,Sales Engineer,-
Aderen,Developer Python,-
Amazon.com,"Head of Partnerships, Spain",24.696 valoraciones
Johnson & Johnson Family of Companies,Product Manager - Psiquiatría,3.228 valoraciones
Hiring IT,PROJECT MANAGER,-
Qualtrics,Pre-Sales Engineer - Spain,-
CAS TRAINING,"Desarrollador Python, Madrid",-
Harnham,AWS SOLUTIONS ENGINEER,-
SAP,Solution Advisor Senior Specialist HEC,1.598 valoraciones
Harnham,INGENIERO DESARROLLADOR BIG DATA,-
atSistemas,Scrum Master,-
Everis Spain,"Desarrollador Junior Spark / Scala, Madrid",18 valoraciones
IBM,IBM Watson Commerce Order Management Consultant,21.723 valoraciones
Harnham,INGENIERO DE DESARROLLO BIG DATA,-
TrustYou,QA Engineer,-
Eventbrite,Front End Engineer,-
Kraft Heinz Company,Brand/Category Manager,2.879 valoraciones
PSS,Jefe De Proyecto Big Data,77 valoraciones
Informatica,Cloud Product Specialist (S),122 valoraciones
atSistemas,Analista Programador Android / Ios,-
DXC,Analytics Solution Architect,1.377 valoraciones
Between Technology,Programador/a Java Fullstack,6 valoraciones
Spring Professional,Software Engineer,2 valoraciones
Importante Emp. Multinac. Lider,Dataminig BigData Analyst España,-
SOLTEL Soluciones Informáticas,Analista / Programador Business Objects,-
atSistemas,Analista Programador Amdocs/clarify,-
Atos,ES-BPS-EPS SAP HIR ABAP HANA Senior,1.626 valoraciones
Harnham,ARQUITECTO/DESARROLLADOR BIG DATA,-
Axpe Consulting,Desarrollo de Aplicaciones Móviles,33 valoraciones
Avature,Jr. Developer,-
Stuart,Operations intern (Madrid),-
Serem,"Desarrollador PowerCenter, Madrid",5 valoraciones
Kraft Heinz Company,Account Manager,2.879 valoraciones
atSistemas,Técnico De Soporte Aplicaciones,-
atSistemas,Jefe De Proyecto Junior,-
Biosoft Innovation,Full stack developer,-
ConsulSAP,Analista Programador SAP BO,-
Equifax,Key Account Manager Retail Market,433 valoraciones
everis,Desarrollador Junior Spark / Scala,123 valoraciones
EXPERIAN,Pre Sales Consultant,786 valoraciones
IAB Spain,Programmatic Digital Sales Executive,-
Denodo,Sales Director,-
Apple,"Country Sales Director, Spain",5.529 valoraciones
Page Personnel España,Data Management Analyst / Pharmacovigilance (h/m),111 valoraciones
Randstad,Tender Manager,11.073 valoraciones
Volvi Search,Life Actuarial Consultant,-
Spring Professional,JEFE DE PROYECTO BIG DATA,2 valoraciones
IBM,"Business Transformation Consultant-Asset Management, Real Estate & Cap",21.723 valoraciones
Ninjamails,Full stack Ninja Developer,-
Michael Page,Finance Controller with MBA/ Master in a Top Business School,156 valoraciones
Spring Professional,Arquitecto Big Data,2 valoraciones
EY,Junior IT & Risk Consultant,5.231 valoraciones
Michael Page,Gerente Comercial Hunter [Producto/Big Data] (h/m),156 valoraciones
Google,"Field Sales Representative, Google Cloud (Spanish)",2.391 valoraciones
Future Space S.A.,Becario: Departamento de Sistemas,-
Planet Expat,Senior Back End Developer / Tech Lead,-
Spring Professional,Consultor SAS,2 valoraciones
EY,IT Risk & Security Consultant,5.231 valoraciones
Deloitte,Especialista SIEM,6.693 valoraciones
Mitula Grupo,Desarrollador / Programador Java,-
atSistemas,Administrador Vmware (junior),-
Banco Popular Español,IT MANAGER FOR CREDIT PORTFOLIO IN GCB,852 valoraciones
Randstad,Arquitecto De Datos Senior Inglés Alto,11.073 valoraciones
Neural.One (Adgravity),Desarrollador Ruby on Rails (presencial),-
atSistemas,Analista Programador Php,-
EUROVENDEX,Comercial Grandes Cuentas Contenidos Digitales,21 valoraciones
atSistemas,Diseñador Web/UX,-
American Express,Merchant Acquisition Sales Executive (German Market),5.499 valoraciones
Page Personnel España,Project Manager/Team Leader (h/m),111 valoraciones
Eventbrite,Senior Software Engineer - Python/Django,-
AIRHE Consultoría Selección de Personal,Experto Revenue Management Labs,-
beRuby,Desarrollador Full Stack Ruby on Rails,-
Tribal World Wide,Buscamos Senior Digital Analytics Consultant (Madrid),-
Iwantic,Especialista Cloud,-
Hudson,Responsable de Modelos Predictivos,181 valoraciones
Future Space S.A.,Desarrollador Scala y Spark,-
EUROVENDEX,KAM Sector Editorial Venta de Contenidos Digitales,21 valoraciones
MAPFRE TECH,GESTOR/A DE SERVICIO TI ANALÍTICA WEB (discapacidad),-
DIGITAL TALENT AGENCY,Programador Junior Java con formación en Scala,-
Page Personnel España,Analista Técnico Java,111 valoraciones
Talend,Sales Lead - Iberia,-
Walters People,Administrador de Linux con Azure,-
Atos,Analista Programador Java Homeland Security: Barcelona,1.626 valoraciones
Atos,Consultor SAP BW,1.626 valoraciones
atSistemas,Téc. De Sistemas Aruba/fortinet/cisco Con Inglés,-
IBA,Proton Therapy Service Engineer Beam Physics - Madrid,-
Neural.ONE,Programador Senior (presencial),-
IBA,Proton Therapy Service Engineer Cyclotron - Madrid,-
IBA,Proton Therapy Mechanical Service Engineer - Madrid,-
Cornerstone Search Group,"Sr. CRA/CRA, Rgnl Monitoring",-
invoin,Arquitecto de Seguridad Senior,-
Atos,ES-BPS-TEC-AM-HIRING-MOONRAKER-JAVA-PL-SQL,1.626 valoraciones
Randstad Technologies Madrid,"Arquitecto de datos Senior Inglés alto, Madrid",-
atSistemas,Analista Programador .net - Microsoft,-
Aspire,Lead Consultant - Decision Management,-
The Cocktail,Software Developer Ruby on Rails y Elixir,-
Accenture,Security Consulting - Infrastructure Security Consultant (Madrid / Barcelona),13.886 valoraciones
Tenea Tecnologías,Desarrollador Junior Java / Scala,-
IBA,Proton Therapy Electrical Service Engineer - Madrid,-
Eventbrite,Senior Front End Engineer,-
Accenture,Amazon Web Services -AWS- Developer- Madrid,13.886 valoraciones
Accenture,Cloud Experts for Financial Services practice - Madrid y Barcelona,13.886 valoraciones
PageExecutive,Sales Director,-
atSistemas,"Administrador De Sistemas Linux, Unix Y Windows",-
atSistemas,Técnico De Sistemas Senior Con Inglés,-
RAET,Agile (Senior) SQL Developer,-
atSistemas,Programador Java Ee (san Sebastián De Los Reyes),-
atSistemas,Desarrollador Senior Php,-
Imperva,Senior Sales Engineer,-
Walters People,Java Developer (Cliente final),-
atSistemas,Desarrollador PHP,-
atSistemas,Ap Java Ee - Spring - 2 Días / Sem. Teletrabajo,-
seedtag,Data Analysis - Business Intelligence Trainee,-
K-LAGAN,Big Data Engineers,2 valoraciones
Alcionti,Consultores Expertos en Big Data,-
Logicalis,Data Science.,56 valoraciones
Siag Consulting,Data Analyst,-
Siag Consulting,Arquitecto BIG DATA (Transformación Digital),-
GfK,Junior / Senior Data Scientist,125 valoraciones
Ryanair,Data Engineer - Ryanair,262 valoraciones
Zartis,Big data Engineer,-
Apara Creadores de Mercapus SL,Técnico BI - Big Data,-
NIIT Technologies S.A.,BIG DATA,-
ETS Asset Management Factory,Financial Product Specialist,-
SOTEC CONSULTING,"Ingeniero Software-Java/Spring (BigData), Madrid",-
Getwith,Data Engineer,-
Cabify,Junior Data Analyst,50 valoraciones
Cabify,Senior Data Analyst,50 valoraciones
Global Incubator,Líder Inteligencia Artificial,-
Iron Hack,Data Analytics Lead Instructor,-
UNIZICLO,Docente Big Data,-
Sdad Iwantic S.L.,Data Scientist,-
atSistemas,Devops Senior,-
GENNION SOLUTIONS,Ingeniero Datos Junior,-
Sdad Iwantic S.L.,Data Analyst,-
DRAGO SOLUTIONS,Consultor BI- Datastage,-
Jobandtalent Careers,Business Analyst junior,-
Geoblink,Product Analyst Internship (6 months),-
Conento,Modelizador/Analista experto - Data scientist,-
Avantes ervices,ANALISTAS-PROGRAMADORES MICROSOFT BI - REF.[3563],-
Pineapple Recruitment,R&D Engineer,-
"SDG Consulting España, S.A.",Business Analyst,-
SICE,Analista Software Departamento I+D,34 valoraciones
