company,job,summary
The Cocktail,Data Scientist, Haber trabajado en el ámbito profesional con modelos matemáticos avanzados basados en técnicas de machine learning:....
MicroStrategy,Sales Engineer," Experience with Cloud, AI, Machine Learning or Predictive Analytics is an advantage. The Sales Engineer is a key role within our Madrid office which requires a..."
Payvision,Experienced Software Engineer, Learning and improving is part of the journey. Enjoy a coke with a colleague or one game in our arcade machine....
Payvision,Frontend Software Engineer, Learning and improving is part of the journey. Enjoy a coke with a colleague or a game on our arcade machine....
Making Science,Desarrollador Web, Qué buscamos? * Un/a desarrollador/a Web con experiencia preferiblemente en el desarrollo de CMS y plataformas PHP y con conocimientos de maquetación ¿Qué...
ALTEN Spain,"Investigador Inteligencia Artificial, Madrid", Experiencia en Machine Learning e Inteligencia Artificial. Desde el departamento de selección de ALTEN buscamos un Investigador con experiencia en Inteligencia...
HAP,CTO - Chief Technology Officer," We are looking for a full-time CTO to work for a fast-growing, innovative product. We are looking for someone brilliant and intelligent, with experience and..."
AVANGRID,TCO GOBIERNO Y ARQUITECTURA IT (GESEN)- MADRID," Tecnologías y arquitectura necesarias, nociones de Machine Learning. Fecha de publicación:...."
Idealista,Data Engineer," Conoces algún módulo/librería de Machine Learning (Scikit, MLlib, Tensorflow…). Incorporamos el equipo un Data Engineer, familiarizado con las mejores prácticas..."
TransPerfect,Internship in Software Engineering - Madrid," RESPONSIBILITIES Summary: The intern will form part of our Software Engineering team for the Gaming Division. Primarily, the candidate will help to develop..."
Microsoft,Support Escalation Engineer," HDInsight/Hadoop, Machine Learning, Azure Stream Analytics. As cloud goes main stream, Azure leads the way...."
IAB Spain,Backend Data Engineer, Experience with information retrieval and machine learning. Learning quickly and being self-reliant. Sonata’s technology platform supports a real-time bidding...
HUB Talent,Arquitecto de Datos," Experiencia en analítica y machine learning. Utilizamos M2M, machine learning, stream and massive processing, y arquitecturas orientadas a dominios, para..."
TrustYou,QA Engineer," Our employees are experts in big data, machine learning, natural language processing, interactive JavaScript applications and web technologies...."
Payvision,Senior Tester Engineer, Learning and improving is part of the journey. Enjoy a coke with a colleague or a game on our arcade machine....
Catenon,Multiplatform Data Analyst," Interest in big data, AI, machine learning, predictive models, image and voice recognition. Champion all the BI/Learning machine applications within our cluster..."
The Boston Consulting Group,"Lead Analyst, Predictive, Modelling, Stadistics and Machine Learning - GAMMA"," Machine learning algorithms (NLP, deep learning etc.). Undergraduate degree related to data science, statistics, machine learning, mathematics, computer science..."
Paradigma Digital,Data Scientist," Experiencia en proyectos de Big Data, realizados con tecnologías como Machine Learning en Python (scikit-learn, pandas), Machine Learning en R, Machine Learning..."
Accenture,Data Scientist Advanced Analytics expert (Madrid)," Temporal series, machine learning, clustering ... Learning takes place both on the job and through formal training conducted online, in the classroom, or in..."
