company,job,summary
EVA Fahrzeugtechnik,Data Scientist Elektromobilität (m/w), Entwicklung von Tools im Big Data Umfeld. Automatisieren Sie die Auswertung dieser Messdaten mit Tools im Big Data Umfeld!...
Technische Universität München,WISSENSCHAFTLICHER MITARBEITER (M/W) - CLOUD PLATTFORM DEVELOPER/DATA ANALYST," Entwicklungserfahrung im Bereich von Microservicearchitekturen, Big Data, Clouddiensten, Java sind von Vorteil...."
Denodo,Solution Engineer - SQL / Big Data / Java / Cloud," Basic experience in Big Data, NoSQL, and InMemory environments is welcome. Implement product demos and pilots to showcase Data Virtualization...."
Criteo,"Data Analyst, Global Supply Analytics, Analytics", Join us and be part of something big. Mine performance data and turn them into understandable and actionable insights....
ProSiebenSat.1 Tech Solutions GmbH,Big Data Architect (m/w)," Big Data Architect (m/w). Als Big Data Architect verantworten Sie die Architekturkonzeption im Bereich Big-Data und Mediendaten, u.a...."
CANCOM SE,Business Architekt Big Data (w/m), Mit den besten Mitarbeitern verfolgen wir bei CANCOM als führender Digitalisierungspartner eine Mission: Auf Basis von Digitalen Technologien entdecken und...
BSH Hausgeräte GmbH,IT Data Scientist m/f," Consulting Business in Advanced Analytics, Data Mining and Big Data methods and Technologies. &gt; 2 years of data analytics or comparable...."
AVANTGARDE Experts GmbH,(Big) Data Analyst / Artist (m/w)," Ausgeprägte Kenntnisse im Umgang mit Big Data Tools (Hive etc.). Mindestens 3 Jahre Berufserfahrung als DWH &amp; Big Data Developer (m/w), idealerweise im..."
CGI,(Senior) Data Scientist (m/w), Gutes Verständnis für Datawarehousing und moderne Big Data Architekturen (z.B. Sie entwickeln mit unserem Big Data und Analytics-Team innovative Data Science...
iPAXX,Data Scientist DWH - Netzwerkplanung m/w, Fundierte Kenntnisse und praktische Erfahrungen in einer Big Data Umgebung. Automatisierung und Entwicklung von Ladeläufen innerhalb unserer Big Data und Oracle...
SALT Solutions AG,Big Data Solution Architect (m/w)," Wir sorgen dafür, dass aus Big Data verwertbare Informationen generiert werden, Business Intelligence nicht beim Zugriff auf historische Daten endet und über..."
DLR - Deutsches Zentrum für Luft- und Raumfahrt,Einsatz von Erdbeobachtung zur Objekterfassung," Diese adressiert Themen der GPU-basierten Objektextraktion via KI/AI Algorithmen genauso, wie das Thema Big EO Data Processing in der höchstaufgelösten..."
iPAXX,Data Science Project Leader (m/w)," Steuerung der Entwicklung von Big Data ETL pipelines auf Basis gängiger open source Frameworks (Hadoop, Hive, Python, Spark)...."
Munich Re,Intern Technical Writer – Data Lake," Write and edit documentation on domains, data, and use cases in the data catalog of Munich Re‘s Data Lake. Intern Technical Writer – Data Lake (m/w) *...."
CANCOM SE,Technical Consultant – Big Data (w/m)," Planung, Konzeption und Umsetzung von IT-Infrastrukturprojekten mit Fokus auf Linux/Unix Technologien im Bereich von Big Data Plattformen (i.e., Hadoop, Spark)...."
BMW AG Automobil,Doktorand Entwicklung RideWizard (w/m)," - Fundierte Kenntnisse in den Bereichen Machine Learning, Big Data und Cluster Analyse. Wir, die BMW Group, bieten dir ein interessantes Thema in der Forschung..."
Denodo Technologies,Solution Engineer - SQL / Big Data / Java / Cloud," Basic experience in Big Data, NoSQL, and InMemory environments is welcome. Implement product demos and pilots to showcase Data Virtualization...."
Denodo Technologies,Consultant Data Virtualization / Business Intelligence - Java / SQL / Big Data," Basic experience in Big Data, NoSQL, and InMemory environments is welcome. As a Consultant Data Virtualization - Java / SQL / Big Data (m/f) you will..."
xdi360 GmbH,Bachelor- und Masterarbeiten, Interessierten Studierenden bieten wir die MÃ¶glichkeit sich im Rahmen ihrer Abschlussarbeit in unsere Themenbereiche einzuarbeiten. Interessante und...
Rambøll,Consultants (m/w) Data Science - München," Sie verfügen über umfangreiche Kenntnisse in Themen wie Data Analytics, Predictive Analytics, Machine Learning, Artifical Intelligence, Big Data und Agile...."
Ramboll Group,Consultants (m/w) Data Science - München," Sie verfügen über umfangreiche Kenntnisse in Themen wie Data Analytics, Predictive Analytics, Machine Learning, Artifical Intelligence, Big Data und Agile...."
