company,job,number_of_evaluations
Sanofi,Multi-Channel Engagement Software Engineer,2.687 valoraciones
Wodker Associates,Digital Analytics Audience Manager,-
Page Personnel España,Chief Technology Officer (CTO) - Tech StartUp (h/m),111 valoraciones
Ocado,"UX Designer, Mobile Team - Barcelona",-
Veeva,Solution Consultant,-
Talent Search People,Digital Analytics Audience Manager,4 valoraciones
Cepheid,Territory Manager (East Spain),-
Merkle S.L.,Front End Developer,-
dxc technology,Senior Consultant,1.377 valoraciones
STD Multiopción,Tourism manager and advisor with English and German,2 valoraciones
Beckman Coulter - Diagnostics,Tender Specialist,491 valoraciones
Accenture,Supply Chain & Operations Analytics Experts,13.886 valoraciones
Wodker Associates,Digital Analytics Consultant,-
Wodker Associates,Data Analytics Manager,-
Amazon.com,IT Support Engineer (M/F),24.696 valoraciones
Ocado Technology,Site Reliability Engineer - OSP,-
Leitat - Centro Tecnológico,BUSINESS DEVELOPMENT FOR HEALTH,-
Amazon.com,Solutions Architect - Amazon Web Services,24.696 valoraciones
QuintilesIMS,Consultant Enriched Studies,1.015 valoraciones
CDM Barcelona,Account Manager,-
Accenture,Analytics Experts for Innovation Lab,13.886 valoraciones
Regus,Lead – Planning and Coordination Manager,607 valoraciones
Syneos Health Clinical,"CTA - Contracts administrator, 6 months, Barcelona",469 valoraciones
Regus,Senior Project Manager: Finance Systems,607 valoraciones
Schibsted Media Group,DevOps Engineer,-
Facturedo,Backend developer,-
TomTom,Full Stack Developer - Telematics,41 valoraciones
Inbenta,Senior Backend Engineer for NLU,-
"Digital Management, LLC",Service Designer,-
Oracle,Regional Manager - Product Management – Southern Europe (Iberia/France/Italy),3.952 valoraciones
TE Connectivity,Intern Digital Factory,1.005 valoraciones
Schneider Electric,"Prácticas Ingeniería Informática, Electrónica, Industrial - Kinaxis system",2.959 valoraciones
Skyscanner,Global App Growth Director,-
General Electric,Senior Engineer Test & Validation,220 valoraciones
HP,EMEA IT Site Customer Experience Lead,10.259 valoraciones
Roche,Solution Architect,1.540 valoraciones
Sellbytel Group GmbH,Technical Support 3D Printing-Italian market (m/f),101 valoraciones
SELLBYTEL Group S.A.,Technical Support 3D Printing - German market (m/f),13 valoraciones
BMAT,Data Engineer,-
Amazon.com,Robotics Engineer Intern,24.696 valoraciones
Resourcing Life,Country Study Manager office based Barcelona,-
Blueliv,Python Developer for threat intelligence application services and RESTFul APIs,-
Oracle,ACS PRINCIPAL SERVICE ENGINEER (Platform Database Big Data),3.952 valoraciones
Magento,Distributed Systems Engineer,-
Ubisoft,Server Programmer (Mobile games),155 valoraciones
Mitek Systems,Javascript Developer,-
Resourcing Life,Medical Advisor Spain home based,-
Edelway,Frontend Developer,-
Boats Group,Senior Software Developer - Mobile Technologies,-
Smartlance,IT Lead Infraestructure,-
King.com,Google Cloud Migration Engineer (Six Month Contract),-
Allianz Technology SE,DevOps Engineer (m/f) Customer Enablement Squad – for newly founded technology hub in Barcelona,457 valoraciones
Regus,Program Manager: Sales Systems,607 valoraciones
Push Technology,iOS SDK LEAD DEVELOPER,-
Criteo,"Sr. Manager, Mid Market Marketing",-
Page Personnel España,Regulatory Affairs with proficiency English (h/m),111 valoraciones
GRUP ORGANIGRAMA,"Data Engineer - For a technology-based, dynamic an",-
Regus,Development Manager – Sales and Marketing Systems,607 valoraciones
GRUP ORGANIGRAMA,Embedded Systems Engineer - For a technology-based,-
Telefonica,TALENT HUNTERS: Release Engineer,597 valoraciones
CA Technologies,Research Engineer,699 valoraciones
HP,3D Metal Printing System Product Engineer,10.259 valoraciones
Ocado Technology,"Java Software Engineer - Communication Systems, OSP",-
GRUP ORGANIGRAMA,Computer Vision Engineer - For a technology-based,-
Cepheid,Customer Service Representative,-
Global {M},Business Intelligence ETL Developer,-
Ocado Technology,Java Software Engineer - OSP,-
Criteo,Technical Solutions Engineer Mid-Market EMEA,-
Page Personnel España,Data Platform Technical Lead (m/f),111 valoraciones
Regus,Network Architect,607 valoraciones
Colt Technology Services,Sales Engineer *temporary,163 valoraciones
Iwantic,Data Engineer,-
Ocado,"Java Software Engineer, Range Management Systems Team - Barcelona",-
Roche,Senior Cloud Architect,1.540 valoraciones
ECB Engineering Firm,Senior Java Developer (Microservices),-
Page Personnel España,Head of Software Development (h/m),111 valoraciones
Page Personnel España,Backend Node.JS Developer (h/m),111 valoraciones
Pentasia,Software Engineer (Java),-
IDential Global Consulting,Ios Senior Developer,-
Pentasia,Senior Software Engineer (Java),-
Hudson,Field Service Engineer,181 valoraciones
Rocketroi,Data Scientist,-
Jobandtalent Careers,Business Intelligence Analyst - Data Science,-
Raona,Data scientist,-
Satellogic,Data Scientist Intern,-
TravelPerk,Data Analyst,-
Barcelona Supercomputing Center (BSC),Junior Developer of Big Data technologies for High Performance Computing (RE1),-
letgo,Data Scientist Intern - Search and Relevance,-
Insikt Intelligence,NLP / Machine Learning (Junior),-
Brandcrumb,Data Scientist with NLP/IR experience,-
"Vintra, Inc.",Machine Learning Engineer,-
Regus,Development Manager – API and Data,607 valoraciones
Ocado Technology,"Java Software Engineer - Fraud Detection Team, OSP",-
Ocado Technology,Java Software Engineer - Pharos Team,-
Ocado Technology,"Java Software Engineer - Customer Systems Team, OSP",-
Ocado Technology,"Java Software Engineer, Range Management Systems Team - Ocean",-
Lodgify,Business Intelligence Manager,-
Carnovo,Data Engineer / Business intelligence,-
Digital Origin,Systems Engineer - Data,-
UIC,Postdoc fellowship in Data Science / Bioinformatics,-
Barcelona Supercomputing Center (BSC),Machine Learning Technician (RE2),-
Blackwood Seven Germany GmbH,Senior Data Engineer,-
Red Points,Machine Learning Specialist,-
Fundació i2cat,Senior IoT Engineer,-
Fundació i2cat,Senior Research Engineer RINA (TECNIOSpring),-
Fundación Pasqual Maragall,SENIOR DATA MANAGER,-
UIC,PhD student in Data Science,-
TFS,Biostatistician,48 valoraciones
CMP Group,Project Manager (Technical Operation),-
Satellogic,Data Platform Developer,-
"Vintra, Inc.",Research Scientist,-
Ubeeqo,Junior Data Engineer,-
Beedata Analytics SL,Programador en python,-
DEXMA,Project Manager Técnico,-
ATICSER SERVEIS EN TECNOLOGIES DE LA INFORMACIÓ,Microsoft con DBA SQL,-
Barcelona Supercomputing Center (BSC),Software Developer - BioInformatics,-
Ascensia Diabetes Care,Commercial Intelligance Coordinator - 12 Month Contract (m/w) (EU00170),-
TFS,Statistical Programmer,48 valoraciones
"Proficio, Inc.",SIEM Engineer / Content Development (ArcSight or Splunk),-
Barcelona Supercomputing Center (BSC),RDA Project Assistant,-
Bioprognos,Biostatistician Scientific,-
"Vintra, Inc.",Distributed Systems Engineer,-
Brandcrumb,Junior Software Engineer – Backend,-
Robert Walters,API and Data Driven Expert,46 valoraciones
CREAL,Postdoctoral position in climate and health (through Marie Curie application),4 valoraciones
"Vintra, Inc.",Full Stack Engineer,-
Barcelona Supercomputing Center (BSC),Computer Systems Technician (RE1),-
Chartboost,Software Engineer - Scala,-
Melza Consulting,Software Engineer + Big Data,-
Digital Origin,Senior Data Scientist,-
Ubeeqo,Junior Backend Devloper,-
Stuart,QA Engineer (Barcelona),-
IRIS Technology Group,Project Manager,-
Pivot Analysis,Software Developer,-
IRIS Technology Group,Project Coordinator for EU projects & Proposal Writer,-
Scaled Robotics,Full Stack Developer,-
Melza Consulting,DevOps Engineer + Big data,-
Melza Consulting,Data Engineer,-
TravelPerk,Product Owner,-
Brandcrumb,Software Engineer - Backend,-
HAYS,Digital Analytics Audience Manager,566 valoraciones
Abouit,CTO & Senior Developer,-
S2M-group,IT Support Specialist - Barcelona,-
"Proficio, Inc.",Security Engineer II with Splunk - Barcelona,-
ABBYY Europe,Solution Architect – Spain & Portugal (f/m),-
Syntax for,Clinical Research Associate (CRA) II,-
Insikt Intelligence,Business Development and Sales Manager,-
Brandcrumb,Junior Software Engineer – Web development,-
Wallapop,Functional QA,-
Midokura,Software Engineer - MidoNet Edge Cloud Platform,-
Lodgify,Web Manual QA Tester,-
Quantum Metric,Customer Success Engineer (European based),-
Scaled Robotics,Full Stack Developer with Autodesk Experience,-
Digital Origin,Information Security Analyst,-
"Proficio, Inc.",IT Security Analyst,-
Midokura,Front-end Developer,-
Pepe Jeans Group (office),IT Business Intelligence & Analytics Manager,-
Whisbi,Back End Developer,4 valoraciones
Digital Origin,Senior Data Scientist / Risk Expert,-
Jobandtalent Careers,Data Analyst Engineer - Data Science,-
Ubeeqo,Senior Backend Python Developer,-
Ubeeqo,Backend Developer Intern,-
Brandcrumb,Systems Engineer,-
CMP Group,Head of Digital Marketing,-
GTD,Full Stack Engineer - Space,13 valoraciones
IT Partner España,Programador/a Java con Pyhton y R junior,-
Artificial Solutions,FullStack Developer,-
Sdad Iwantic S.L.,Data Engineer,-
TravelPerk,Software Product Manager,-
Hays Response,Emobility - Functional Safety Engineer (J.L. Díaz),-
Tiendeo web Marketing S.L.,Back-end Developer (.NET),-
IDential,.NET Application Developer,-
